Cluster	ID
WP_101425919.1	GGM81307.1
WP_101425919.1	WP_289446787.1
WP_101425919.1	WP_093850934.1
WP_101425919.1	WP_289446787.1
WP_101425919.1	WP_093850934.1
WP_101425919.1	WP_216335256.1
WP_024874432.1	WP_081190813.1
WP_024874432.1	WP_116952009.1
WP_024874432.1	WP_232497854.1
WP_024874432.1	WP_204532986.1
WP_024874432.1	WP_156250305.1
WP_024874432.1	WP_166139191.1
WP_024874432.1	WP_081190813.1
WP_024874432.1	WP_166139191.1
WP_171783352.1	WP_068200974.1
WP_171783352.1	WP_106266342.1
WP_171783352.1	WP_106266342.1
WP_289265828.1	WP_047522947.1
WP_289265828.1	WP_282979027.1
WP_289265828.1	WP_203755981.1
WP_289265828.1	WP_183657915.1
WP_289265828.1	WP_290164945.1
WP_289265828.1	WP_207376096.1
WP_289265828.1	WP_268908848.1
WP_289265828.1	WP_183657915.1
WP_289265828.1	WP_207376096.1
WP_289265828.1	WP_268908848.1
WP_214466043.1	WP_214466043.1
WP_283528239.1	WP_183151678.1
WP_283528239.1	WP_283311757.1
WP_283528239.1	WP_283311757.1
WP_227908766.1	AAN39739.1
WP_227908766.1	WP_127481649.1
WP_227908766.1	1HKH_A
WP_227908766.1	KAB1883213.1
WP_227908766.1	WP_055869276.1
WP_227908766.1	WP_210699162.1
WP_227908766.1	WP_017831243.1
WP_227908766.1	WKT90844.1
WP_227908766.1	WP_141387218.1
WP_227908766.1	WP_029260076.1
WP_227908766.1	WP_096359379.1
WP_227908766.1	WP_301112605.1
WP_227908766.1	WP_167632805.1
WP_227908766.1	WP_061016195.1
WP_227908766.1	WP_058632015.1
WP_227908766.1	WP_136041391.1
WP_227908766.1	WP_127011658.1
WP_227908766.1	WP_046746353.1
WP_227908766.1	WP_141370741.1
WP_227908766.1	WP_262002922.1
WP_227908766.1	WP_113681576.1
WP_227908766.1	WP_105673170.1
WP_227908766.1	WP_091032760.1
WP_227908766.1	WP_105710686.1
WP_227908766.1	WP_029261444.1
WP_227908766.1	WP_223587271.1
WP_227908766.1	WP_282848929.1
WP_227908766.1	WP_282214907.1
WP_227908766.1	WP_153243411.1
WP_227908766.1	WP_116636027.1
WP_227908766.1	WP_134352788.1
WP_227908766.1	WP_223624356.1
WP_227908766.1	WP_136053701.1
WP_227908766.1	WP_105722062.1
WP_227908766.1	WP_046013158.1
WP_227908766.1	WP_131492018.1
WP_227908766.1	WP_248539518.1
WP_227908766.1	WP_269406429.1
WP_227908766.1	WP_124894684.1
WP_227908766.1	WP_105670468.1
WP_227908766.1	WEK61796.1
WP_227908766.1	WP_267416977.1
WP_227908766.1	WP_210096758.1
WP_227908766.1	WP_045262141.1
WP_227908766.1	WP_215172861.1
WP_227908766.1	WP_056310293.1
WP_227908766.1	WP_050723180.1
WP_227908766.1	WP_042538169.1
WP_227908766.1	WP_259160709.1
WP_227908766.1	WP_056510603.1
WP_227908766.1	WP_120494958.1
WP_227908766.1	WP_226533692.1
WP_227908766.1	WP_045277999.1
WP_227908766.1	WP_194763148.1
WP_227908766.1	WP_257493947.1
WP_227908766.1	WP_257514205.1
WP_227908766.1	WP_136032723.1
WP_227908766.1	WP_105527233.1
WP_227908766.1	WP_136045597.1
WP_227908766.1	WP_247638205.1
WP_227908766.1	WP_247982664.1
WP_227908766.1	WP_045256854.1
WP_227908766.1	WP_285363764.1
WP_227908766.1	WP_190257029.1
WP_227908766.1	WP_259975840.1
WP_227908766.1	WP_257515472.1
WP_227908766.1	WP_091229246.1
WP_227908766.1	WP_056276350.1
WP_227908766.1	WP_072590579.1
WP_227908766.1	WP_257518258.1
WP_227908766.1	WP_140035887.1
WP_227908766.1	WP_295100673.1
WP_227908766.1	ACY56506.1
WP_227908766.1	WP_192785438.1
WP_227908766.1	WP_211540547.1
WP_227908766.1	WP_201468575.1
WP_227908766.1	WP_290161139.1
WP_227908766.1	WP_033245694.1
WP_227908766.1	WP_259064419.1
WP_227908766.1	WP_102208638.1
WP_227908766.1	WP_062633128.1
WP_227908766.1	WP_101847659.1
WP_227908766.1	WP_189319884.1
WP_227908766.1	WP_259981806.1
WP_227908766.1	WP_268777412.1
WP_227908766.1	WP_025104019.1
WP_227908766.1	WP_105949116.1
WP_227908766.1	WP_144881482.1
WP_227908766.1	WP_060922832.1
WP_227908766.1	WP_249520947.1
WP_227908766.1	WP_030755143.1
WP_227908766.1	MCQ6247490.1
WP_227908766.1	WP_136051787.1
WP_227908766.1	WP_167505088.1
WP_227908766.1	WP_210676404.1
WP_227908766.1	WP_069867377.1
WP_227908766.1	WP_114117748.1
WP_227908766.1	MCC4315556.1
WP_227908766.1	WP_129803485.1
WP_227908766.1	WP_091046181.1
WP_227908766.1	WP_030355936.1
WP_227908766.1	WP_292790322.1
WP_227908766.1	WP_249951780.1
WP_227908766.1	WP_121895886.1
WP_227908766.1	WP_257504100.1
WP_227908766.1	WP_210571842.1
WP_227908766.1	WP_269651471.1
WP_227908766.1	WP_093701584.1
WP_227908766.1	WP_149084244.1
WP_227908766.1	WP_200367671.1
WP_227908766.1	WP_257634724.1
WP_227908766.1	WP_259954927.1
WP_227908766.1	WP_280569408.1
WP_227908766.1	WP_079259791.1
WP_227908766.1	WP_189845131.1
WP_227908766.1	WP_100805514.1
WP_227908766.1	WP_030726478.1
WP_227908766.1	WP_187663041.1
WP_227908766.1	WP_071327846.1
WP_227908766.1	WP_046723197.1
WP_227908766.1	WP_259962952.1
WP_227908766.1	WP_150924644.1
WP_227908766.1	WP_089512228.1
WP_227908766.1	WP_120695923.1
WP_227908766.1	WP_210887204.1
WP_227908766.1	WP_143643263.1
WP_227908766.1	WP_265521156.1
WP_227908766.1	WP_129669416.1
WP_227908766.1	WP_164442719.1
WP_227908766.1	WP_158039864.1
WP_227908766.1	WP_144794353.1
WP_227908766.1	WP_164337785.1
WP_227908766.1	WP_265140086.1
WP_227908766.1	KAA9151501.1
WP_227908766.1	WP_277211051.1
WP_227908766.1	WP_211650172.1
WP_227908766.1	WP_222952826.1
WP_227908766.1	WP_131343545.1
WP_227908766.1	WP_189049648.1
WP_227908766.1	WP_147723071.1
WP_227908766.1	WP_251840639.1
WP_227908766.1	WP_163819850.1
WP_227908766.1	WP_210825599.1
WP_227908766.1	WP_301143347.1
WP_227908766.1	WP_228081957.1
WP_227908766.1	WP_150972363.1
WP_227908766.1	WP_249380063.1
WP_227908766.1	WP_030627632.1
WP_227908766.1	WP_086778500.1
WP_227908766.1	WP_187247149.1
WP_227908766.1	WP_153322936.1
WP_227908766.1	WP_107414704.1
WP_227908766.1	WP_132151481.1
WP_227908766.1	WP_069115110.1
WP_227908766.1	WP_218787134.1
WP_227908766.1	WP_023541996.1
WP_227908766.1	WP_093809851.1
WP_227908766.1	WP_208576631.1
WP_227908766.1	WP_053387063.1
WP_227908766.1	WP_030089382.1
WP_227908766.1	MCC8477324.1
WP_227908766.1	WP_281554672.1
WP_227908766.1	WP_135067965.1
WP_227908766.1	WP_184684939.1
WP_227908766.1	WP_281617813.1
WP_227908766.1	WP_166139856.1
WP_227908766.1	WP_053660665.1
WP_227908766.1	WP_249626805.1
WP_227908766.1	WP_166391465.1
WP_227908766.1	WP_069628191.1
WP_227908766.1	WP_172210742.1
WP_227908766.1	WP_269700254.1
WP_227908766.1	WP_175514688.1
WP_227908766.1	WP_079574287.1
WP_227908766.1	WP_242738061.1
WP_227908766.1	WP_006129518.1
WP_227908766.1	WP_053352294.1
WP_227908766.1	WP_078073920.1
WP_227908766.1	WP_103512641.1
WP_227908766.1	WP_184366548.1
WP_227908766.1	WP_242572263.1
WP_227908766.1	WP_225796793.1
WP_227908766.1	WP_150892301.1
WP_227908766.1	WP_074709906.1
WP_227908766.1	WP_114854324.1
WP_227908766.1	WP_188525524.1
WP_227908766.1	WP_056927799.1
WP_227908766.1	WP_044571662.1
WP_227908766.1	WP_257528737.1
WP_227908766.1	WP_118902011.1
WP_227908766.1	WP_131875036.1
WP_227908766.1	WP_103538877.1
WP_227908766.1	MCZ2262347.1
WP_227908766.1	WP_257510101.1
WP_227908766.1	WP_210890704.1
WP_227908766.1	WP_097892541.1
WP_227908766.1	WP_030998515.1
WP_227908766.1	WP_093435774.1
WP_227908766.1	WP_164614096.1
WP_227908766.1	WP_058594467.1
WP_227908766.1	WP_270129955.1
WP_227908766.1	WP_214407406.1
WP_227908766.1	WP_069388083.1
WP_227908766.1	WP_252446324.1
WP_227908766.1	OLS99911.1
WP_227908766.1	WP_017589942.1
WP_227908766.1	WP_044376500.1
WP_227908766.1	WP_030805491.1
WP_227908766.1	WP_125768450.1
WP_227908766.1	WP_017581293.1
WP_227908766.1	WP_121181782.1
WP_227908766.1	WP_234877742.1
WP_227908766.1	WP_110484075.1
WP_227908766.1	CAH9416670.1
WP_227908766.1	WP_121703713.1
WP_227908766.1	WP_076972951.1
WP_227908766.1	WP_198275771.1
WP_227908766.1	WP_147879013.1
WP_227908766.1	NED01979.1
WP_227908766.1	WP_283892440.1
WP_227908766.1	WP_260823387.1
WP_227908766.1	WP_150193623.1
