Cluster	ID
MBO4966464.1	WP_258911143.1
MBO4966464.1	CAI3801636.1
MBO4966464.1	WP_166359720.1
MBO4966464.1	WP_203478523.1
MBO4966464.1	WP_282448039.1
MPT08115.1	MPT08115.1
SEE74489.1	WP_096779343.1
SEE74489.1	WP_067286895.1
SEE74489.1	WP_166998685.1
SEE74489.1	WP_014292913.1
SEE74489.1	WP_106453296.1
SEE74489.1	WP_012418930.1
SEE74489.1	WP_094277680.1
SEE74489.1	WP_027852407.1
SEE74489.1	WP_089391233.1
SEE74489.1	WP_104486743.1
SEE74489.1	WP_097279602.1
SEE74489.1	WP_116473487.1
SEE74489.1	WP_301296082.1
SEE74489.1	WP_197887775.1
SEE74489.1	WP_281686045.1
SEE74489.1	WP_276216260.1
SEE74489.1	WP_009617328.1
SEE74489.1	MDF3868789.1
SEE74489.1	WP_043273490.1
SEE74489.1	WP_283939458.1
SEE74489.1	WP_074981934.1
SEE74489.1	WP_285647433.1
SEE74489.1	WP_192434916.1
SEE74489.1	WP_043313741.1
SEE74489.1	WBG63845.1
SEE74489.1	WP_116422761.1
SEE74489.1	WP_217393134.1
SEE74489.1	WP_069862106.1
SEE74489.1	WP_058488466.1
SEE74489.1	WP_301499979.1
SEE74489.1	WP_071471837.1
SEE74489.1	WP_258331224.1
SEE74489.1	MBP6706399.1
SEE74489.1	WP_189352188.1
SEE74489.1	WP_182122499.1
SEE74489.1	WP_199054747.1
SEE74489.1	WP_272814301.1
SEE74489.1	RKW40477.1
SEE74489.1	WP_272528437.1
SEE74489.1	WP_256515311.1
SEE74489.1	WP_272769521.1
SEE74489.1	UNY92317.1
SEE74489.1	WP_272803451.1
SEE74489.1	WP_237142649.1
SEE74489.1	MCL6689394.1
SEE74489.1	WP_272758269.1
SEE74489.1	WP_272766203.1
SEE74489.1	WP_272771579.1
SEE74489.1	WP_269964256.1
SEE74489.1	WP_236695163.1
SEE74489.1	WP_120811599.1
SEE74489.1	WP_255908273.1
SEE74489.1	WP_233170585.1
SEE74489.1	WP_028875359.1
SEE74489.1	WP_126536492.1
SEE74489.1	MBX9629666.1
SEE74489.1	WP_119165382.1
SEE74489.1	WP_212523504.1
SEE74489.1	MCP4381767.1
SEE74489.1	TDI56981.1
SEE74489.1	WP_268860934.1
SEE74489.1	MDH3663568.1
SEE74489.1	WP_028716592.1
SEE74489.1	WP_011750635.1
SEE74489.1	WP_285049512.1
SEE74489.1	WP_199261026.1
SEE74489.1	WP_231000018.1
SEE74489.1	WP_289896135.1
SEE74489.1	WP_024842545.1
SEE74489.1	WP_167227405.1
SEE74489.1	WP_102634705.1
SEE74489.1	WP_147429073.1
SEE74489.1	WP_243783913.1
SEE74489.1	WP_151024268.1
SEE74489.1	WP_036753335.1
SEE74489.1	WP_290750099.1
SEE74489.1	WP_114536610.1
SEE74489.1	MDF1736386.1
SEE74489.1	SFX93175.1
SEE74489.1	WP_089344405.1
SEE74489.1	WP_036730959.1
SEE74489.1	WP_036699765.1
SEE74489.1	WP_054301311.1
SEE74489.1	WP_091296780.1
SEE74489.1	WP_043130536.1
SEE74489.1	WP_168783533.1
SEE74489.1	RIK84682.1
SEE74489.1	WP_149141886.1
SEE74489.1	MCB1397336.1
SEE74489.1	WP_215503896.1
SEE74489.1	WP_275394762.1
SEE74489.1	WP_193143148.1
SEE74489.1	OHC52874.1
SEE74489.1	WP_189635121.1
SEE74489.1	WP_259955676.1
SEE74489.1	WP_218628544.1
SEE74489.1	WP_164130198.1
SEE74489.1	WP_263848078.1
SEE74489.1	WP_301653876.1
SEE74489.1	TVQ57895.1
SEE74489.1	WP_090847597.1
SEE74489.1	WP_192247002.1
SEE74489.1	WP_138840464.1
SEE74489.1	WP_260012207.1
SEE74489.1	OHC53227.1
SEE74489.1	WP_138015595.1
SEE74489.1	WP_093096159.1
SEE74489.1	WP_200186359.1
SEE74489.1	MBD3738883.1
SEE74489.1	WP_263714737.1
SEE74489.1	MBD3788073.1
SEE74489.1	WP_298560008.1
SEE74489.1	WP_255606475.1
SEE74489.1	WP_257759976.1
SEE74489.1	WP_133487084.1
SEE74489.1	WP_163039946.1
SEE74489.1	WP_181762057.1
SEE74489.1	MCC0073268.1
SEE74489.1	MBP9048107.1
SEE74489.1	WP_294974969.1
SEE74489.1	EKD61674.1
SEE74489.1	WP_128154156.1
SEE74489.1	WP_025029269.1
SEE74489.1	WP_009451956.1
SEE74489.1	WP_197642837.1
SEE74489.1	WP_263340543.1
SEE74489.1	WP_300514070.1
SEE74489.1	WP_121534547.1
SEE74489.1	RBP86045.1
SEE74489.1	WP_130990160.1
SEE74489.1	WP_048645725.1
SEE74489.1	WP_291731414.1
SEE74489.1	MBI1169827.1
SEE74489.1	NMM26288.1
SEE74489.1	WP_108692875.1
SEE74489.1	WP_255105766.1
SEE74489.1	WP_173485733.1
SEE74489.1	WP_146287204.1
SEE74489.1	WP_222505961.1
SEE74489.1	WP_271053412.1
SEE74489.1	WP_259778068.1
SEE74489.1	WP_288941058.1
SEE74489.1	WP_136339971.1
SEE74489.1	MAS04861.1
SEE74489.1	WP_136652226.1
SEE74489.1	WP_067268413.1
SEE74489.1	WP_201659420.1
SEE74489.1	WP_024587808.1
SEE74489.1	WP_257317357.1
SEE74489.1	WP_006641556.1
SEE74489.1	WP_006093832.1
SEE74489.1	PHQ70810.1
SEE74489.1	WP_006186853.1
SEE74489.1	WP_261002857.1
SEE74489.1	WP_107891846.1
SEE74489.1	MCR9112169.1
SEE74489.1	WP_154144856.1
SEE74489.1	WP_252924892.1
SEE74489.1	MBC7148951.1
SEE74489.1	WP_160859127.1
SEE74489.1	WP_226923491.1
SEE74489.1	WP_134652338.1
SEE74489.1	WP_275840473.1
SEE74489.1	WP_241604219.1
SEE74489.1	SDR41684.1
SEE74489.1	WP_272807577.1
SEE74489.1	WP_130514335.1
SEE74489.1	MAJ35065.1
SEE74489.1	WP_050744727.1
