Cluster	ID
RWW90891.1	RWW90891.1
MCH8183755.1	WP_173421224.1
MCH8183755.1	WP_209788749.1
MCH8183755.1	WP_043621926.1
MCH8183755.1	WP_176354083.1
MCH8183755.1	WP_065785125.1
MCH8183755.1	WP_205239894.1
MCH8183755.1	WP_053247841.1
MCH8183755.1	WP_223729161.1
MCH8183755.1	WP_192449050.1
MCH8183755.1	WP_077501684.1
MCH8183755.1	WP_058323971.1
MCH8183755.1	WP_093234254.1
MCH8183755.1	WP_241604183.1
MCH8183755.1	WP_106770445.1
MCH8183755.1	WP_007812620.1
MCH8183755.1	WP_065283394.1
MCH8183755.1	WP_221947834.1
MCH8183755.1	WP_222388718.1
MCH8183755.1	WP_131641102.1
MCH8183755.1	WP_168344103.1
MCH8183755.1	WP_134652662.1
MCH8183755.1	WP_222357993.1
MCH8183755.1	WP_222038775.1
MCH8183755.1	WP_151519637.1
MCH8183755.1	WP_097141786.1
MCH8183755.1	WP_075613886.1
MCH8183755.1	WP_129420989.1
MCH8183755.1	MBX9457526.1
MCH8183755.1	WP_070150143.1
MCH8183755.1	MBU2326110.1
MCH8183755.1	WP_003550273.1
MCH8183755.1	WP_029875724.1
MCH8183755.1	WP_060637550.1
MCH8183755.1	WP_222007662.1
MCH8183755.1	WP_012654165.1
MCH8183755.1	WP_171598355.1
MCH8183755.1	WP_222346598.1
MCH8183755.1	WP_203319430.1
MCH8183755.1	WP_075641231.1
MCH8183755.1	WP_087747153.1
MCH8183755.1	WP_018245279.1
MCH8183755.1	WP_180697349.1
MCH8183755.1	WP_181294299.1
MCH8183755.1	WP_060717130.1
MCH8183755.1	WP_086995970.1
MCH8183755.1	WP_007689414.1
MCH8183755.1	WP_112907590.1
MCH8183755.1	WP_006727828.1
MCH8183755.1	WP_112345836.1
MCH8183755.1	WP_011648932.1
MCH8183755.1	WP_181704847.1
MCH8183755.1	WP_136559428.1
MCH8183755.1	WP_174005201.1
MCH8183755.1	WP_069610134.1
MCH8183755.1	WP_113329438.1
MCH8183755.1	WP_147885134.1
MCH8183755.1	WP_149633564.1
MCH8183755.1	WP_113248791.1
MCH8183755.1	WP_092707457.1
MCH8183755.1	NSZ55080.1
MCH8183755.1	WP_184363475.1
MCH8183755.1	WP_277917650.1
MCH8183755.1	WP_285176543.1
MCH8183755.1	WP_192731580.1
MCH8183755.1	WP_095437273.1
MCH8183755.1	WP_131606516.1
MCH8183755.1	WP_222312290.1
MCH8183755.1	WP_164574761.1
MCH8183755.1	WP_257317383.1
MCH8183755.1	WP_267553724.1
MCH8183755.1	WP_077470605.1
MCH8183755.1	WP_233939093.1
MCH8183755.1	WP_112410181.1
MCH8183755.1	WP_285206661.1
MCH8183755.1	WP_126536512.1
MCH8183755.1	WP_037192585.1
MCH8183755.1	MDE1994990.1
MCH8183755.1	WP_183876368.1
MCH8183755.1	WP_183726435.1
MCH8183755.1	WP_034480161.1
MCH8183755.1	WP_160785035.1
MCH8183755.1	WP_075852891.1
MCH8183755.1	WP_113350772.1
MCH8183755.1	WP_183800340.1
MCH8183755.1	WP_068389438.1
MCH8183755.1	WP_168839192.1
MCH8183755.1	WP_201657464.1
MCH8183755.1	WP_120706720.1
MCH8183755.1	WP_149740290.1
MCH8183755.1	NRP88068.1
MCH8183755.1	WP_153490314.1
MCH8183755.1	WP_105865590.1
MCH8183755.1	WP_085739397.1
MCH8183755.1	WP_047635591.1
MCH8183755.1	WP_209433883.1
MCH8183755.1	WP_149250055.1
MCH8183755.1	WP_221970604.1
MCH8183755.1	MCX8998407.1
MCH8183755.1	WP_015343751.1
MCH8183755.1	WP_133707700.1
MCH8183755.1	MDB5523982.1
MCH8183755.1	WP_004112201.1
MCH8183755.1	WP_110728619.1
MCH8183755.1	WP_148658129.1
MCH8183755.1	WP_068298425.1
MCH8183755.1	WP_132528422.1
MCH8183755.1	WP_068880999.1
MCH8183755.1	WP_226923420.1
MCH8183755.1	WP_209229747.1
MCH8183755.1	WP_129332893.1
MCH8183755.1	WP_275784528.1
MCH8183755.1	WP_209186243.1
MCH8183755.1	WP_142831370.1
MCH8183755.1	WP_114442638.1
MCH8183755.1	WP_099060376.1
MCH8183755.1	WP_023517322.1
MCH8183755.1	WP_019860221.1
MCH8183755.1	WP_136619234.1
MCH8183755.1	WP_244769123.1
MCH8183755.1	WP_095198168.1
MCH8183755.1	WP_064333790.1
MCH8183755.1	WP_263791033.1
MCH8183755.1	WP_272808878.1
MCH8183755.1	WP_132807383.1
MCH8183755.1	MDB5520313.1
MCH8183755.1	WP_276315422.1
MCH8183755.1	MBL6616453.1
MCH8183755.1	MBG21268.1
MCH8183755.1	MAY63259.1
MCH8183755.1	SDR61575.1
MCH8183755.1	WP_085934002.1
MCH8183755.1	WP_062211632.1
MCH8183755.1	WP_091131669.1
MCH8183755.1	MPZ31622.1
MCH8183755.1	WP_183200779.1
MCH8183755.1	MBV8410101.1
MCH8183755.1	MBY0320376.1
MCH8183755.1	MBI2740401.1
MCH8183755.1	WP_296400593.1
MCH8183755.1	WP_131113509.1
MCH8183755.1	WP_147149845.1
MCH8183755.1	SEO73288.1
MCH8183755.1	MBS0517649.1
MCH8183755.1	WP_296379679.1
MCH8183755.1	OFW98309.1
MCH8183755.1	WP_158818766.1
MCH8183755.1	WP_055852221.1
MCH8183755.1	MCW5734093.1
MCH8183755.1	WP_207349484.1
MCH8183755.1	MCX7360817.1
MCH8183755.1	MDB5489891.1
MCH8183755.1	WP_282584652.1
MCH8183755.1	WP_213738295.1
MCH8183755.1	WP_093565679.1
MCH8183755.1	WP_296319017.1
MCH8183755.1	MBX5453231.1
MCH8183755.1	WP_253372841.1
MCH8183755.1	MCJ2029557.1
MCH8183755.1	WP_135297737.1
MCH8183755.1	WP_159588323.1
MCH8183755.1	WP_295133687.1
MCH8183755.1	WP_158803313.1
MCH8183755.1	MBX5473170.1
MCH8183755.1	WP_159014903.1
MCH8183755.1	MDI1285790.1
MCH8183755.1	WP_284943638.1
MCH8183755.1	TSD90032.1
MCH8183755.1	WP_252924886.1
MCH8183755.1	WP_065815952.1
MCH8183755.1	WP_046861845.1
MCH8183755.1	MCA0304507.1
MCH8183755.1	MBN9511333.1
MCH8183755.1	MSQ58502.1
MCH8183755.1	MBL0935810.1
