Cluster	ID
WP_167192351.1	WP_167192351.1
HJH24937.1	WP_018913334.1
HJH24937.1	WP_297913270.1
HJH24937.1	WP_022980684.1
HJH24937.1	WP_298052337.1
HJH24937.1	WP_300647781.1
OYU98350.1	MBP2869982.1
OYU98350.1	WP_300719805.1
OYU98350.1	WP_236442583.1
OYU98350.1	WP_105163129.1
OYU98350.1	WP_186754808.1
OYU98350.1	WP_026067186.1
OYU98350.1	WP_078824007.1
OYU98350.1	MBN2990204.1
OYU98350.1	WP_245399222.1
OYU98350.1	WP_038442007.1
OYU98350.1	MBO9645026.1
OYU98350.1	WP_294374363.1
OYU98350.1	WP_234195067.1
OYU98350.1	WP_114803789.1
OYU98350.1	WP_295373680.1
OYU98350.1	WP_017759303.1
OYU98350.1	WP_093169264.1
OYU98350.1	WP_047965167.1
OYU98350.1	WP_273547392.1
OYU98350.1	WP_158906321.1
OYU98350.1	WP_187652569.1
OYU98350.1	WP_273583090.1
OYU98350.1	WP_018903868.1
OYU98350.1	WP_099132996.1
OYU98350.1	WP_074024067.1
OYU98350.1	WP_074021139.1
OYU98350.1	WP_099142536.1
OYU98350.1	WP_189760369.1
OYU98350.1	WP_099136960.1
OYU98350.1	WP_047683579.1
OYU98350.1	WP_068904882.1
OYU98350.1	WP_099124803.1
OYU98350.1	WP_273558475.1
OYU98350.1	WP_099111426.1
OYU98350.1	WP_092507998.1
OYU98350.1	WP_228858636.1
OYU98350.1	WP_193850005.1
OYU98350.1	WP_222941775.1
OYU98350.1	WP_273552337.1
OYU98350.1	MCY7308116.1
OYU98350.1	WP_237387415.1
OYU98350.1	WP_099121986.1
OYU98350.1	WP_228864895.1
OYU98350.1	WP_104403233.1
OYU98350.1	WP_126609603.1
OYU98350.1	WP_101112988.1
OYU98350.1	WP_254578697.1
OYU98350.1	WP_086952899.1
OYU98350.1	WP_114136277.1
OYU98350.1	WP_190333869.1
OYU98350.1	WP_067383607.1
OYU98350.1	WP_004405855.1
OYU98350.1	MCX7393843.1
OYU98350.1	WP_067285972.1
OYU98350.1	WP_022589674.1
OYU98350.1	WP_045966670.1
OYU98350.1	MCX7386274.1
CAG2141543.1	WP_088927198.1
CAG2141543.1	WP_105808097.1
CAG2141543.1	WP_105836860.1
CAG2141543.1	WP_060040567.1
CAG2141543.1	WP_233869463.1
CAG2141543.1	WP_124153170.1
CAG2141543.1	WP_105840407.1
CAG2141543.1	WP_093641468.1
CAG2141543.1	WP_254341939.1
CAG2141543.1	WP_217120309.1
CAG2141543.1	WP_134462661.1
CAG2141543.1	WP_062130119.1
CAG2141543.1	WP_094780309.1
CAG2141543.1	WP_175050651.1
CAG2141543.1	WP_254355611.1
CAG2141543.1	WP_028218737.1
CAG2141543.1	WP_028213507.1
CAG2141543.1	WP_035520959.1
CAG2141543.1	WP_133192882.1
CAG2141543.1	WP_118180441.1
CAG2141543.1	BBQ02479.1
CAG2141543.1	WP_213766947.1
CAG2141543.1	WP_169484784.1
CAG2141543.1	WP_201694973.1
CAG2141543.1	WP_233392471.1
CAG2141543.1	WP_065065718.1
CAG2141543.1	WP_224012253.1
CAG2141543.1	WP_233829530.1
CAG2141543.1	WP_205995112.1
CAG2141543.1	WP_233887030.1
CAG2141543.1	WP_039007661.1
CAG2141543.1	WP_087633490.1
CAG2141543.1	WP_061136772.1
CAG2141543.1	WP_042884266.1
CAG2141543.1	WP_114133235.1
CAG2141543.1	WP_035825385.1
CAG2141543.1	AGW89009.1
CAG2141543.1	WP_061164452.1
CAG2141543.1	SCU73711.1
CAG2141543.1	WP_090869942.1
CAG2141543.1	MBP6853467.1
CAG2141543.1	WP_116336788.1
CAG2141543.1	WP_211953184.1
CAG2141543.1	WP_209775400.1
CAG2141543.1	MCX7224117.1
CAG2141543.1	ODV44381.1
CAG2141543.1	WP_013953699.1
CAG2141543.1	WP_241397654.1
CAG2141543.1	NKJ49881.1
CAG2141543.1	WP_042326829.1
CAG2141543.1	WP_220629968.1
CAG2141543.1	SKD03812.1
CAG2141543.1	WP_175150250.1
CAG2141543.1	WP_147911677.1
CAG2141543.1	WP_285232724.1
CAG2141543.1	WP_286522899.1
CAG2141543.1	TAM98351.1
CAG2141543.1	KAF7961970.1
CAG2141543.1	MBS0498792.1
CAG2141543.1	PWB40375.1
CAG2141543.1	MBN9406111.1
CAG2141543.1	MDB5861187.1
CAG2141543.1	MCZ2103370.1
CAG2141543.1	MBS0317739.1
CAG2141543.1	NMM26933.1
CAG2141543.1	MBV6475189.1
CAG2141543.1	MCG3146437.1
CAG2141543.1	MBE7421664.1
CAG2141543.1	WP_291557103.1
CAG2141543.1	WP_108948120.1
CAG2141543.1	PLX71258.1
CAG2141543.1	TVT51730.1
CAG2141543.1	WP_294996116.1
CAG2141543.1	WP_015435489.1
CAG2141543.1	MCZ4303373.1
CAG2141543.1	WP_212345870.1
CAG2141543.1	WP_116292772.1
CAG2141543.1	WP_116336772.1
CAG2141543.1	TVT53866.1
CAG2141543.1	WP_115665375.1
CAG2141543.1	WP_111520107.1
CAG2141543.1	WP_133092707.1
CAG2141543.1	WP_297915179.1
CAG2141543.1	WP_125245118.1
CAG2141543.1	WP_039006403.1
CAG2141543.1	WP_035827270.1
CAG2141543.1	WP_231385684.1
CAG2141543.1	MDE2150980.1
CAG2141543.1	WP_192883348.1
CAG2141543.1	5NMP_A
CAG2141543.1	WP_011001773.1
CAG2141543.1	WP_064477857.1
CAG2141543.1	WP_019718814.1
CAG2141543.1	MDO3530027.1
CAG2141543.1	WP_247317271.1
CAG2141543.1	WP_058908353.1
CAG2141543.1	WP_193032655.1
CAG2141543.1	WP_103025715.1
CAG2141543.1	WP_064047714.1
CAG2141543.1	MDO3618923.1
CAG2141543.1	WP_111395483.1
CAG2141543.1	WP_020748625.1
CAG2141543.1	WP_247308452.1
CAG2141543.1	WP_075464353.1
CAG2141543.1	WP_247422375.1
CAG2141543.1	WP_118883242.1
CAG2141543.1	AXW62107.1
CAG2141543.1	WP_193025635.1
CAG2141543.1	KJK01487.1
CAG2141543.1	WP_096746004.1
CAG2141543.1	WP_126878403.1
CAG2141543.1	WP_017776342.1
CAG2141543.1	WP_042303749.1
CAG2141543.1	HDR8999197.1
CAG2141543.1	WP_277596445.1
CAG2141543.1	WP_059823056.1
CAG2141543.1	WP_187599948.1
CAG2141543.1	WP_096501352.1
CAG2141543.1	WP_209569420.1
CAG2141543.1	WP_259433583.1
CAG2141543.1	WP_121040930.1
CAG2141543.1	WP_082686126.1
CAG2141543.1	WP_039783213.1
CAG2141543.1	WP_111876653.1
CAG2141543.1	WP_034334799.1
CAG2141543.1	WP_271452984.1
CAG2141543.1	WP_013595738.1
CAG2141543.1	WP_128843050.1
CAG2141543.1	WP_192883072.1
CAG2141543.1	WP_092937672.1
CAG2141543.1	WP_082360276.1
CAG2141543.1	WP_043683712.1
CAG2141543.1	WP_192888332.1
CAG2141543.1	WP_082803042.1
CAG2141543.1	WP_019703402.1
CAG2141543.1	WP_276808787.1
CAG2141543.1	AVS72570.1
CAG2141543.1	WP_212321137.1
CAG2141543.1	WP_103275020.1
CAG2141543.1	WP_075256519.1
CAG2141543.1	WP_082492961.1
CAG2141543.1	WP_208911549.1
CAG2141543.1	AVS68796.1
CAG2141543.1	AVS90423.1
CAG2141543.1	WP_066452989.1
CAG2141543.1	KQR62175.1
