Cluster	ID
QED45755.1	QED45755.1
AFA51682.1	AFA51682.1
QEV73657.1	QEV73656.1
QEV73657.1	QEV73656.1
HDE1610595.1	HDE1610595.1
AER29004.1	AER29004.1
QEV73670.1	QEV73670.1
TMZ66002.1	TMZ66002.1
QEV73658.1	QEV73658.1
QWT89380.1	QWT89380.1
HDE2890660.1	HDE2890660.1
QWT89375.1	QWT89375.1
AND46632.1	AND46632.1
QEV73660.1	QEV73659.1
QEV73660.1	QEV73661.1
WGF23810.1	WGF23810.1
QBO66695.1	QBO66694.1
HBR0074142.1	HBR0074142.1
WCP19789.1	WCP19789.1
AZZ89539.1	AZZ89539.1
AZZ89540.1	AZZ89540.1
QEV73675.1	QEV73675.1
HAP2664096.1	HCC6323552.1
QEV73662.1	QEV73662.1
AGZ03767.1	AGZ03767.1
QEV73680.1	QEV73680.1
UZH56912.1	UZH56912.1
AGZ03738.1	AGZ03738.1
QEV73691.1	QEV73691.1
QEV73679.1	QEV73679.1
ATB18139.1	ATB18139.1
AGZ03740.1	AGZ03740.1
AGZ03729.1	AGZ03729.1
AGZ03759.1	AGZ03759.1
WDW19559.1	WDW19559.1
WCP19773.1	WCP19773.1
AGZ03730.1	AGZ03730.1
AHC08669.1	AHC08669.1
AGZ03731.1	AGZ03731.1
AGZ03742.1	AGZ03742.1
AFO63539.1	AFO63539.1
AXE72483.1	AXE72483.1
AEH05045.1	AEH05045.1
NNC58710.1	WBY16001.1
NNC58710.1	RZV29324.1
NNC58710.1	MXP32638.1
NNC58710.1	WP_199801290.1
NNC58710.1	6V72_A
NNC58710.1	MXO56741.1
NNC58710.1	WP_235902193.1
QGJ03288.1	QGJ03288.1
AEI25978.1	AEI25978.1
AMS38567.1	AMS38567.1
QYJ62973.1	QYJ62973.1
EKU1020608.1	HCE0868042.1
EKU1020608.1	HBL6041822.1
EKU1020608.1	NGE24459.1
EKU1020608.1	HBU6212844.1
EKU1020608.1	EKX6202469.1
EKU1020608.1	HAY4067623.1
AEI25979.1	AEI25979.1
WP_160614171.1	WP_209347879.1
WP_160614171.1	WP_160603981.1
NMU33802.1	NMU33802.1
AMS38568.1	AMS38568.1
QLI46924.1	QLI46924.1
WCP19774.1	WCP19774.1
MCA5023012.1	BBM28333.1
MCA5023012.1	AKL79378.1
MCD9436903.1	HCU1283005.1
MCD9436903.1	MCL0268014.1
MCD9436903.1	MCV6002927.1
MCD9436903.1	AGY30903.1
PIW54870.1	PIW54870.1
NUV21740.1	NUV21740.1
QBO66722.1	QBO66722.1
AWW05358.1	AWW05358.1
AJO54648.1	AJO54648.1
AWU02352.1	AWU02352.1
WP_241177457.1	WP_200143939.1
AWD77980.1	AWD77980.1
MCX6150533.1	MCX6150533.1
AFK09576.1	AFK09576.1
OFY10732.1	PKP05231.1
QGJ03323.1	QGJ03323.1
QGJ03306.1	QGJ03306.1
GHT71794.1	GHV67753.1
GHT71794.1	GHV17657.1
GHT71794.1	MDD2303110.1
GHT71794.1	MBW8326796.1
WP_277639596.1	WP_148297768.1
WP_277639596.1	WP_071145342.1
MBN2613766.1	MBN2613766.1
AQT38394.1	AQT38394.1
QGJ03291.1	QGJ03291.1
ANF99524.1	ANF99524.1
ANJ89229.1	ANJ89229.1
ASR12216.1	ASR12216.1
AXL64535.1	AXL64535.1
AND46628.1	AND46628.1
AGZ03714.2	AGZ03714.2
AYG99169.1	AYG99169.1
ARD69925.2	ARD69925.2
AOY36096.1	AOY36096.1
AQZ26546.1	AQZ26546.1
AND82952.1	AND82952.1
TWV14335.1	TWV14335.1
WP_167679105.1	WP_167679105.1
WP_239333295.1	WP_239333295.1
AND82980.1	AND82980.1
ANF99529.1	ANF99529.1
ASR12220.1	ASR12220.1
AWK29904.1	AWK29904.1
ARD69928.2	ARD69928.2
ARD69921.2	ARD69921.2
ASM62105.1	ASM62105.1
AXG65625.1	AXG65625.1
BBM96617.1	BBM96617.1
AYU53765.1	AYU53765.1
WP_290324894.1	WP_183587347.1
AGZ03720.2	AGZ03720.2
AXY66670.1	AXY66670.1
AXU25858.1	AXU25858.1
AND82947.1	AND82947.1
NNF59376.1	NNF59376.1
AST11239.1	AST11239.1
AST11238.1	AST11238.1
AQT38388.1	AQT38388.1
WP_029904071.1	WP_029904071.1
MCK9208079.1	MCK9208079.1
BEG79489.1	BEG79489.1
WHE44028.1	WHE44028.1
ATY36712.1	ATY36712.1
WP_063860859.1	WP_063860859.1
AWK23456.1	AWK23456.1
AXH80118.1	AXH80118.1
WP_214251060.1	WP_214251060.1
HBR8347956.1	HBR8347956.1
HBN2225536.1	HBN2225536.1
WP_077064890.1	WP_004201164.1
WP_077064890.1	ALD19783.1
WP_077064890.1	4EXS_A
WP_077064890.1	HBR8152905.1
WP_077064890.1	HBR8287516.1
WP_077064890.1	EKW1369346.1
WP_077064890.1	HCC6900583.1
WP_077064890.1	HAD9259603.1
WP_077064890.1	HBO7395146.1
WP_077064890.1	HBS2323332.1
WP_077064890.1	HCP9988910.1
WP_077064890.1	WP_111672913.1
WP_077064890.1	WP_152315467.1
WP_077064890.1	HCE0413078.1
WP_077064890.1	WP_219191788.1
WP_077064890.1	HBM2817202.1
WP_077064890.1	WP_109791213.1
WP_077064890.1	WP_063860861.1
WP_077064890.1	QTD79310.1
WP_077064890.1	WP_032495672.1
WP_077064890.1	HDE1518208.1
WP_077064890.1	WP_278013847.1
WP_077064890.1	HDF8078125.1
WP_077064890.1	HBQ8397121.1
WP_077064890.1	WP_181715659.1
WP_077064890.1	HDG7739662.1
WP_077064890.1	WP_141421170.1
WP_077064890.1	WP_136512072.1
WP_077064890.1	HBX2659121.1
WP_077064890.1	HBW9847197.1
WP_077064890.1	HCP5237089.1
WP_077064890.1	HCE4237141.1
WP_077064890.1	HBQ2476657.1
WP_077064890.1	WP_063860854.1
WP_077064890.1	HCE0418403.1
WP_077064890.1	WP_219860718.1
WP_077064890.1	EJD7090344.1
WP_077064890.1	WP_205635132.1
WP_077064890.1	HBR2192247.1
WP_077064890.1	WP_262697142.1
WP_077064890.1	WP_032492661.1
WP_077064890.1	HCC7822300.1
WP_077064890.1	QXR09165.1
WP_077064890.1	EIU5329962.1
WP_077064890.1	WP_156404656.1
WP_077064890.1	HBU7462564.1
WP_077064890.1	HBW1206609.1
WP_077064890.1	HBQ8397115.1
