Cluster	ID
WP_031073753.1	WP_031073753.1
WP_079182813.1	WP_079182813.1
WP_135332157.1	WP_266874365.1
WP_135332157.1	WP_275534866.1
NSC22658.1	WP_180218369.1
WP_269075685.1	UFQ19749.1
WP_269075685.1	WP_199893119.1
WP_076968265.1	WP_161266360.1
WP_076968265.1	WP_164236404.1
WP_076968265.1	WP_030565585.1
WP_076968265.1	WP_237329662.1
WP_076968265.1	WP_109981207.1
WP_076968265.1	WP_214965631.1
WP_076968265.1	MCD9899714.1
WP_076968265.1	WP_215037982.1
WP_076968265.1	WP_073876583.1
WP_032759183.1	WP_161281445.1
WP_032759183.1	WP_099129897.1
WP_032759183.1	WP_176145137.1
WP_032759183.1	WP_015613025.1
WP_032759183.1	WP_055559247.1
WP_032759183.1	WP_031124997.1
WP_032759183.1	WP_094210774.1
WP_266815170.1	WP_266815170.1
EDY66956.1	WP_037775980.1
EDY66956.1	GGT04721.1
ALC19495.1	ALC19495.1
GGT36434.1	WP_040875515.1
GGT36434.1	WP_018549985.1
GGT36434.1	WP_260219851.1
GGT36434.1	WP_164640841.1
GGT36434.1	WP_143622437.1
GGT36434.1	WP_266531428.1
GGT36434.1	WP_219567099.1
GGT36434.1	WP_209470431.1
GGT36434.1	WP_093540372.1
GGT36434.1	WP_124282205.1
GGT36434.1	WP_056798356.1
GGT36434.1	WP_161211477.1
GGT36434.1	WP_207319159.1
GGT36434.1	WP_266782791.1
GGT36434.1	WP_285564646.1
GGT36434.1	WP_158993120.1
GGT36434.1	WP_148020698.1
GGT36434.1	WP_018102689.1
GGT36434.1	WP_266797555.1
GGT36434.1	WP_124717146.1
GGT36434.1	WP_114245912.1
GGT36434.1	WP_266359061.1
GGT36434.1	WP_123523588.1
GGT36434.1	WP_147970867.1
GGT36434.1	WP_073963970.1
GGT36434.1	WP_123461629.1
GGT36434.1	WP_265691821.1
GGT36434.1	WP_266410959.1
GGT36434.1	WP_266791202.1
GGT36434.1	WP_028442744.1
GGT36434.1	WP_266689376.1
GGT36434.1	WP_266769853.1
GGT36434.1	WP_073862980.1
GGT36434.1	WP_093706235.1
GGT36434.1	WP_265541147.1
GGT36434.1	WP_093527453.1
GGT36434.1	WP_259931644.1
GGT36434.1	NED86760.1
GGT36434.1	WP_073736945.1
GGT36434.1	WP_018521093.1
GGT36434.1	WP_164628225.1
GGT36434.1	WP_093675789.1
GGT36434.1	WP_103493971.1
GGT36434.1	WP_037877422.1
GGT36434.1	WP_266913659.1
GGT36434.1	WP_189547279.1
GGT36434.1	WP_137991465.1
GGT36434.1	GHA95023.1
GGT36434.1	WP_202504702.1
GGT36434.1	WP_202445460.1
GGT36434.1	WP_266730682.1
GGT36434.1	WP_202522683.1
GGT36434.1	WP_264178447.1
GGT36434.1	WP_260225586.1
GGT36434.1	MYS07138.1
WP_268775961.1	WP_223828644.1
WP_268775961.1	WP_150187858.1
WP_268775961.1	WP_223831833.1
WP_078624369.1	GFE11728.1
WP_078624369.1	WP_039938427.1
WP_078624369.1	WP_179935366.1
WP_078624369.1	WP_248637471.1
WP_078624369.1	WP_187743411.1
WP_078624369.1	WP_147991556.1
WP_078624369.1	WP_225662243.1
WP_078624369.1	WP_266747739.1
WP_078624369.1	WP_190108133.1
WP_078624369.1	WP_250992540.1
WP_078624369.1	WP_255966774.1
WP_078624369.1	WP_125058841.1
WP_078624369.1	GCD44580.1
WP_078624369.1	WP_161312636.1
WP_078624369.1	KOT41214.1
WP_078624369.1	WP_205372495.1
WP_078624369.1	WP_215071398.1
WP_078624369.1	WP_125046128.1
WP_078624369.1	KOT94707.1
WP_078624369.1	KOT64465.1
WP_078624369.1	WP_206504786.1
WP_078624369.1	WP_063730493.1
WP_078624369.1	WP_048832190.1
WP_078624369.1	WP_264250388.1
