Cluster	ID
WP_106350220.1	WP_106350220.1
WP_268110315.1	WP_172212149.1
WP_268110315.1	WP_223393850.1
WP_268110315.1	WP_211732956.1
WP_268110315.1	WP_129456420.1
WP_268110315.1	WP_297627136.1
WP_268110315.1	WP_300050887.1
WP_268110315.1	WP_191195004.1
WP_268110315.1	WP_254181467.1
WP_268110315.1	WP_056601761.1
WP_268110315.1	WP_210504074.1
WP_268110315.1	WP_129427750.1
WP_268110315.1	WP_236405078.1
WP_268110315.1	WP_179620101.1
WP_268110315.1	WP_129474975.1
WP_268110315.1	WP_201940684.1
WP_268110315.1	WP_056908215.1
WP_268110315.1	WP_186341514.1
WP_268110315.1	WP_129397859.1
WP_268110315.1	WP_172270539.1
WP_268110315.1	WP_191200198.1
WP_268110315.1	WP_172270539.1
WP_268110315.1	WP_056908215.1
WP_268110315.1	WP_172212149.1
WP_268110315.1	WP_297627136.1
WP_268110315.1	WP_210504074.1
WP_268110315.1	WP_211732956.1
WP_268110315.1	WP_255893058.1
WP_268110315.1	WP_186341514.1
WP_268110315.1	WP_201940684.1
WP_268110315.1	WP_129474975.1
WP_268110315.1	WP_230442211.1
WP_268110315.1	WP_236405078.1
WP_268110315.1	WP_300050887.1
WP_268110315.1	WP_191195004.1
WP_268110315.1	WP_091197822.1
WP_268110315.1	WP_141800015.1
WP_268110315.1	WP_141800015.1
WP_172258552.1	WP_255893058.1
RZL62760.1	RZL62760.1
WP_207084395.1	WP_224275667.1
WP_141006373.1	WP_218234554.1
WP_141006373.1	WP_282403475.1
WP_141006373.1	WP_257427478.1
WP_141006373.1	WP_282403475.1
WP_141006373.1	WP_218234554.1
WP_141006373.1	WP_257427478.1
MCB1301688.1	NLJ52525.1
MCW2773221.1	MCW2773221.1
MBK02457.1	MCP3990786.1
MBK02457.1	MBA32193.1
WP_205855692.1	WP_205855692.1
MDJ0107361.1	RZL70751.1
MDJ0107361.1	MCW2633532.1
MDJ0107361.1	KGN36382.1
MBT3808010.1	MBT5944573.1
MBT3808010.1	MBT3399632.1
MBT3808010.1	MBT3399632.1
MBM3510707.1	MCL4798708.1
MBM3510707.1	OGA55877.1
MBM3510707.1	MCL4798708.1
MBM3510707.1	MYI14887.1
MBM3510707.1	MYB23949.1
MBM3510707.1	MCY3924813.1
MBM3510707.1	MCY3805702.1
MBM3510707.1	MCY3952535.1
MBM3510707.1	MCY3561224.1
MBM3510707.1	MYI14887.1
MBM3510707.1	MCY3805702.1
MBM3510707.1	MCY3910031.1
MBM3510707.1	MCY3636333.1
MBM3510707.1	MCY3636333.1
MBM3510707.1	MBL12349.1
MBM3510707.1	MBR85985.1
MBM3510707.1	MBL12349.1
MBM3510707.1	MDE0176646.1
MBM3510707.1	MDE0176646.1
MBM3510707.1	MDE0058976.1
MBM3510707.1	MCY4551648.1
MBM3510707.1	MYB27855.1
MBM3510707.1	MYB27855.1
MBM3510707.1	MCY4425343.1
MBM3510707.1	MCY4425343.1
MBM3510707.1	MCY4630262.1
MBM3510707.1	MDE0195347.1
MBM3510707.1	MCY3663934.1
TMK04016.1	MBV8321699.1
WP_281368969.1	MCB1302546.1
PYO18193.1	PYO18193.1
RZK70393.1	MCY4670896.1
RZK70393.1	RZL74514.1
RZK70393.1	RZL72216.1
WP_297411914.1	WP_297411914.1
MBX9812440.1	MBX9812440.1
WP_291820899.1	WP_291820899.1
WP_278259579.1	WP_278259579.1
OLB43361.1	OLB93231.1
OLB43361.1	PYO02318.1
OLB43361.1	PYM99643.1
OLC00652.1	OLC13767.1
OLC00652.1	PYM63589.1
OLC00652.1	MDE0342709.1
OLC00652.1	OLB10094.1
OLC00652.1	MBI3628855.1
OLC00652.1	MBI3456564.1
OLC00652.1	PYM13359.1
OLC00652.1	PYN70524.1
OLC00652.1	PYM63589.1
OLC00652.1	MBI2461746.1
OLC00652.1	OLC13767.1
OLC00652.1	OLB00347.1
OLC00652.1	PYM49998.1
OLC00652.1	OLD78608.1
OLC00652.1	PYM92489.1
OLC00652.1	PYN78010.1
OLC00652.1	PYN62420.1
OLC00652.1	MCH7913791.1
MDB5804302.1	MDB5804302.1
NNJ29016.1	NNJ29016.1
WP_147847842.1	WP_147847842.1
WP_133289335.1	WP_168033892.1
WP_133289335.1	WP_133222665.1
WP_133289335.1	WP_171610126.1
WP_133289335.1	WP_111472493.1
WP_133289335.1	WP_133222665.1
WP_133289335.1	WP_252954690.1
WP_133289335.1	MBY0337662.1
WP_133289335.1	WP_252954690.1
WP_133289335.1	MBY0337662.1
WP_133289335.1	WP_188971659.1
WP_133289335.1	WP_168041507.1
WP_133289335.1	WP_219764090.1
WP_133289335.1	WP_198370460.1
WP_114801934.1	WP_234197263.1
WP_114801934.1	WP_076505600.1
WP_114801934.1	WP_295374431.1
WP_114801934.1	MBN8748412.1
WP_114801934.1	WP_058642677.1
WP_114801934.1	MDI3384447.1
WP_114801934.1	WP_295542990.1
WP_114801934.1	MBO9644216.1
WP_114801934.1	WP_295529496.1
WP_230549459.1	WP_230549459.1
MDA0228956.1	HIM45133.1
MBV8393534.1	MBN9537107.1
MBV8393534.1	OFX04134.1
MBV8393534.1	WP_289296883.1
MBV8393534.1	MCX7362836.1
MBV8393534.1	WP_296378187.1
MBV8393534.1	MCW5735122.1
MBV8393534.1	WP_289296883.1
MBV8393534.1	NQW49885.1
MBV8393534.1	WP_296328188.1
MBV8393534.1	WP_295145515.1
MBV8393534.1	WP_216965102.1
MBV8393534.1	MDB5486755.1
MBV8393534.1	WP_298306403.1
MBV8393534.1	MDI1287783.1
MBV8393534.1	KAF0104552.1
MBV8393534.1	WP_295145515.1
MBV8393534.1	MBL6617002.1
MBV8393534.1	MBL6617002.1
MCI0894484.1	MCI0824302.1
WP_189612090.1	MDB5799231.1
WP_189612090.1	ODV09575.1
AMN39153.1	WP_029003050.1
AMN39153.1	WP_029003050.1
AMN39153.1	GGX06534.1
AMN39153.1	NYE22652.1
AMN39153.1	PLX73421.1
AMN39153.1	TMJ54350.1
AMN39153.1	WP_275196025.1
AMN39153.1	WP_169405784.1
AMN39153.1	WP_275196025.1
MDA8319103.1	MDA8319103.1
WP_136574217.1	ABK41866.1
WP_136574217.1	WP_011117191.1
WP_136574217.1	WP_154164646.1
WP_136574217.1	AIG51547.1
WP_136574217.1	CAH2807102.1
WP_136574217.1	CAH2805195.1
WP_136574217.1	CAH2942580.1
PSR22754.1	PSR22754.1
WP_271754349.1	WP_277567550.1
WP_271754349.1	WP_090116015.1
WP_271754349.1	WP_168120803.1
OLB75417.1	OLB75417.1
WP_147149319.1	SEO46679.1
WP_147149319.1	MBY0321140.1
WP_147149319.1	MBI3197030.1
WP_147149319.1	MBI3197030.1
WP_143573145.1	WP_294941442.1
WP_136550136.1	WP_136550136.1
WP_293625045.1	WP_293625045.1
MBI55828.1	WP_204427813.1
MBI55828.1	WP_161385448.1
MBI55828.1	MBU59729.1
MBI55828.1	QJX03316.1
MBI55828.1	MBU59729.1
MBI55828.1	MAB42763.1
MBI55828.1	MAQ49697.1
MBI55828.1	WP_096005507.1
MBI55828.1	MAQ49697.1
MBI55828.1	WP_083726422.1
MUZ62350.1	MVA70932.1
MUZ62350.1	MCF1465503.1
MUZ62350.1	BCH66780.1
MUZ62350.1	MVA52024.1
KGN36383.1	MCB0894098.1
WP_025658505.1	WP_169679792.1
WP_025658505.1	WP_018855619.1
MBV6651844.1	WP_043747515.1
MCY3823367.1	MCY4382870.1
MCY3823367.1	MCY4382870.1
MCY3823367.1	MYA96165.1
MBW3659901.1	MBW3659901.1
MBU6189961.1	NBS65809.1
MCP5029114.1	MCP5029114.1
WP_132537298.1	SES27729.1
WP_132537298.1	WP_062593882.1
WP_132537298.1	WP_132449478.1
MDE0236561.1	MDE0236561.1
WP_058643300.1	MBO9642683.1
