Cluster	ID
WP_154848095.1	WP_230927498.1
WP_154848095.1	WP_128326529.1
WP_154848095.1	WP_248687385.1
WP_154848095.1	WP_300730981.1
WP_154848095.1	WP_065760558.1
WP_090504987.1	OHC47680.1
WP_090504987.1	WP_172152252.1
WP_090504987.1	WP_161778688.1
WP_090504987.1	WP_289638794.1
WP_090504987.1	WP_161760060.1
WP_090504987.1	WP_150802916.1
WP_090504987.1	WP_162440725.1
WP_090504987.1	WP_288097864.1
WP_090504987.1	WP_194691886.1
WP_090504987.1	WP_130207231.1
WP_090504987.1	WP_047530094.1
WP_090504987.1	MBH2031585.1
WP_090504987.1	WP_090462533.1
WP_090504987.1	WP_025130045.1
WP_090504987.1	WP_103325556.1
WP_090504987.1	WP_124347791.1
WP_090504987.1	WP_210712068.1
WP_090504987.1	WP_068588263.1
WP_090504987.1	WP_047336626.1
WP_090504987.1	WP_276494993.1
WP_090504987.1	WP_103291587.1
WP_090504987.1	WP_282878149.1
WP_090504987.1	WP_210672068.1
WP_090504987.1	WP_123430877.1
WP_090504987.1	WP_047286281.1
WP_090504987.1	WP_011061026.1
WP_090504987.1	WP_169891769.1
WP_090504987.1	WP_194238208.1
WP_090504987.1	URN91253.1
WP_090504987.1	WP_019093498.1
WP_090504987.1	WP_053151231.1
WP_090504987.1	WP_265578255.1
WP_090504987.1	WP_161466939.1
WP_090504987.1	WP_258718476.1
WP_090504987.1	WP_185698671.1
WP_090504987.1	WP_210694224.1
WP_090504987.1	WP_226524978.1
WP_090504987.1	KTC30248.1
WP_090504987.1	WP_182999874.1
WP_090504987.1	WP_210456751.1
WP_090504987.1	WP_233318988.1
WP_166593082.1	WP_215374560.1
WP_166593082.1	WP_207884099.1
WP_166593082.1	WP_069081856.1
WP_166593082.1	WP_301423298.1
WP_166593082.1	WP_108079092.1
WP_166593082.1	WP_302097968.1
WP_166593082.1	WP_095168702.1
WP_166593082.1	WP_182340541.1
WP_166593082.1	WP_265537827.1
WP_166593082.1	WP_185817899.1
WP_166593082.1	WP_159996275.1
WP_166593082.1	WP_188265622.1
WP_166593082.1	WP_008064321.1
WP_166593082.1	WP_248677220.1
WP_166593082.1	WP_110962263.1
WP_166593082.1	WP_180207022.1
WP_166593082.1	WP_166359719.1
WP_166593082.1	WP_149418769.1
WP_166593082.1	WP_077186087.1
WP_166593082.1	PPA01393.1
WP_166593082.1	WP_247257009.1
WP_166593082.1	WP_248915948.1
WP_166593082.1	WP_103404407.1
WP_166593082.1	WP_033042676.1
WP_166593082.1	WP_218436619.1
WP_166593082.1	WP_175378882.1
WP_166593082.1	WP_020800835.1
WP_166593082.1	WP_168757891.1
WP_166593082.1	WP_274643759.1
WP_166593082.1	WP_046817503.1
WP_166593082.1	MBH2078050.1
WP_166593082.1	NBB63744.1
WP_166593082.1	NBA93603.1
WP_166593082.1	WP_128873160.1
WP_166593082.1	WP_102051482.1
WP_166593082.1	WP_138967760.1
WP_166593082.1	WP_090323008.1
WP_166593082.1	WP_060696911.1
WP_166593082.1	WP_178117618.1
WP_166593082.1	WP_203478525.1
WP_166593082.1	WP_224533097.1
WP_166593082.1	WP_099775124.1
WP_166593082.1	WJM95631.1
WP_166593082.1	WP_189396247.1
WP_166593082.1	WP_241107026.1
WP_166593082.1	WP_237148434.1
WP_166593082.1	WP_027852406.1
WP_166593082.1	WP_254579430.1
WP_166593082.1	WP_067286892.1
WP_166593082.1	WP_255854351.1
WP_166593082.1	WP_282350910.1
WP_166593082.1	WP_106453297.1
WP_166593082.1	WP_014292912.1
WP_166593082.1	WP_027856846.1
WP_166593082.1	WP_116473486.1
WP_166593082.1	WP_091356871.1
WP_166593082.1	WP_296054882.1
WP_166593082.1	WP_059287039.1
WP_166593082.1	WP_212313161.1
WP_166593082.1	UTW04354.1
WP_166593082.1	MBR9865605.1
WP_166593082.1	WP_103271780.1
WP_166593082.1	WP_205208737.1
WP_166593082.1	WP_217393135.1
WP_166593082.1	WP_215950633.1
WP_166593082.1	WP_097279601.1
WP_166593082.1	WP_299204026.1
WP_166593082.1	WP_104486742.1
WP_166593082.1	WP_272559114.1
WP_166593082.1	WP_020925674.1
WP_166593082.1	WP_173000328.1
WP_166593082.1	WP_054515621.1
WP_166593082.1	MCV6903114.1
WP_166593082.1	WP_241082887.1
WP_166593082.1	WP_238927469.1
WP_166593082.1	WP_054446066.1
WP_166593082.1	WP_241049503.1
WP_166593082.1	WP_076408248.1
WP_166593082.1	WP_175205282.1
WP_166593082.1	WP_047992416.1
WP_166593082.1	WP_277354691.1
WP_166593082.1	WP_241073433.1
WP_166593082.1	WP_273543347.1
WP_147170399.1	WP_079201261.1
WP_147170399.1	WP_025165316.1
WP_024075426.1	WP_024075426.1
WP_064361164.1	WP_064361164.1
WP_023662936.1	AJG14402.1
WP_023662936.1	WP_103444409.1
WP_023662936.1	WP_033902869.1
WP_023662936.1	WP_102670207.1
WP_241531084.1	WP_241531084.1
WP_038706144.1	WP_038706144.1
WP_103463324.1	WP_103463324.1
WP_200662220.1	WP_201595620.1
WP_200662220.1	MBP6551911.1
WP_200662220.1	WP_183618228.1
WP_200662220.1	WP_068405457.1
WP_200662220.1	WP_198327785.1
WP_272528439.1	WP_176089786.1
WP_272528439.1	WP_258129591.1
WP_272528439.1	WP_198486073.1
WP_272528439.1	MBP6345360.1
WP_272528439.1	WP_094826172.1
WP_272528439.1	WP_094831974.1
WP_272528439.1	WP_230339405.1
WP_272528439.1	WP_009118792.1
WP_272528439.1	WP_182122498.1
WP_272528439.1	WP_238033935.1
WP_272528439.1	WP_045447309.1
WP_272528439.1	WP_100749616.1
WP_272528439.1	WP_201560861.1
WP_272528439.1	WP_290189125.1
WP_272528439.1	WP_105245791.1
WP_272528439.1	WP_207992093.1
WP_272528439.1	WP_109589791.1
WP_272528439.1	WP_075100841.1
WP_272528439.1	WP_201553841.1
WP_272528439.1	WP_250162471.1
WP_272528439.1	WP_201604175.1
WP_272528439.1	WP_201581330.1
WP_272528439.1	WP_201574760.1
WP_272528439.1	WP_253339122.1
WP_272528439.1	WP_207969546.1
WP_272528439.1	WP_201605703.1
WP_272528439.1	WP_144296168.1
WP_272528439.1	WP_201628384.1
WP_272528439.1	WP_201618442.1
WP_272528439.1	WP_201564179.1
WP_272528439.1	WP_288726930.1
WP_272528439.1	WP_201541528.1
WP_272528439.1	WP_191689836.1
WP_272528439.1	WP_193030106.1
WP_272528439.1	MDN5694108.1
WP_272528439.1	WP_201551437.1
WP_272528439.1	WP_298906777.1
WP_272528439.1	WP_181210384.1
WP_272528439.1	WP_296236352.1
WP_272528439.1	WP_149491642.1
WP_272528439.1	WP_149489504.1
WP_272528439.1	WP_102076427.1
WP_272528439.1	WP_299219297.1
WP_272528439.1	WP_289050775.1
