Cluster	ID
KAH8815350.1	RFU35177.1
KAI7972192.1	KAE8549062.1
KAI7972192.1	XP_054120377.1
KAI7972192.1	XP_002342011.1
KAI7972192.1	XP_040730509.1
XP_041136447.1	VUG20207.1
KAI1609921.1	KAI1625034.1
KAI1609921.1	XP_013283393.1
KAI1609921.1	XP_018698022.1
KAI1609921.1	OQV10363.1
KAI1609921.1	XP_022496613.1
KAI1609921.1	XP_007745800.1
KAI1609921.1	XP_016633636.1
KAI1609921.1	XP_022513878.1
KAI1609921.1	OCT51466.1
KAI1609921.1	KAH0840600.1
KAI1609921.1	XP_008729161.1
KAI1609921.1	GAD98039.1
KAI1609921.1	RDW90932.1
KAI1609921.1	RFU24412.1
KAI1609921.1	RQM05786.1
KAI1609921.1	KAH8805014.1
TAQ88420.1	KAG4426688.1
TAQ88420.1	KAH7364480.1
TAQ88420.1	CZR50837.1
TAQ88420.1	KAH9218955.1
TAQ88420.1	PVH88496.1
TAQ88420.1	KAH6709535.1
TAQ88420.1	KAK0118895.1
TAQ88420.1	KAF8866471.1
TAQ88420.1	KAG9241641.1
TAQ88420.1	XP_024725286.1
TAQ88420.1	PMD39820.1
TAQ88420.1	KAE8452220.1
TAQ88420.1	KIN04008.1
TAQ88420.1	TVY82565.1
TAQ88420.1	XP_007297849.1
TAQ88420.1	CAG8955479.1
QGI68643.1	QGI68643.1
KIM73469.1	KAF2109726.1
KIM73469.1	XP_007726015.1
KIM73469.1	XP_041555325.1
KIM73469.1	KAF8231662.1
KIM73469.1	KAF8240234.1
CAF9939558.1	XP_037167758.1
CAF9939558.1	XP_037147477.1
CAF9939558.1	CAD6570949.1
XP_028474631.1	KAI3073598.1
XP_028474631.1	XP_038927807.1
XP_028474631.1	KAI1834921.1
XP_028474631.1	KAI2708462.1
XP_028474631.1	XP_056737770.1
XP_028474631.1	OQD74651.1
XP_056046937.1	XP_056046937.1
RDW63774.1	RDW59220.1
RDW63774.1	KAJ2979587.1
RDW63774.1	KAG0649973.1
RDW63774.1	XP_007722374.1
RDW63774.1	KIW73736.1
RDW63774.1	KAJ9499177.1
RDW63774.1	XP_016626483.1
RDW63774.1	XP_056759392.1
RDW63774.1	XP_018688857.1
RDW63774.1	OQU99766.1
RDW63774.1	XP_013278215.1
RDW63774.1	KAH0848748.1
RDW63774.1	XP_007736860.1
RDW63774.1	MCJ1305765.1
RDW63774.1	RFU33072.1
KAG2417305.1	GES63454.1
KAG2417305.1	XP_001214930.1
GKZ76154.1	XP_025510611.1
GKZ76154.1	GKZ25511.1
GKZ76154.1	XP_025558112.1
GKZ76154.1	XP_025384520.1
GKZ76154.1	GLA19093.1
GKZ76154.1	EHA27502.1
GKZ76154.1	XP_024688815.1
GKZ76154.1	XP_024673922.1
GKZ76154.1	KAF2097405.1
GKZ76154.1	XP_018696961.1
GKZ76154.1	OQU98893.1
GKZ76154.1	MCJ1258822.1
GKZ76154.1	TFK50543.1
GKZ76154.1	XP_007869936.1
GKZ76154.1	KZT21895.1
GKZ76154.1	XP_022585158.1
GKZ76154.1	MCJ1294159.1
GKZ76154.1	MCJ1319847.1
GKZ76154.1	MCJ1417362.1
GKZ76154.1	MCJ1392905.1
GKZ76154.1	MCJ1436019.1
GKZ76154.1	MCJ1282335.1
GKZ76154.1	MCJ1477814.1
GKZ76154.1	MCJ1245364.1
GKZ76154.1	MCJ1382371.1
GKZ76154.1	OOF91764.1
GKZ76154.1	XP_040689948.1
XP_018993917.1	XP_018993916.1
GES64760.1	GES64760.1
XP_681687.1	XP_681687.1
KAI5195852.1	XP_013343961.1
KAI5195852.1	KAI5263824.1
KAI5195852.1	PMD26000.1
KAI5195852.1	OAA59759.1
KAI5195852.1	KAF4501872.1
KAI5195852.1	KAF2666124.1
KAI5195852.1	KAI1613605.1
KAI5195852.1	XP_016236742.1
KAI5195852.1	KAK0391828.1
KAI5195852.1	CVL04013.1
KAI5195852.1	KAF5534799.1
KAI5195852.1	XP_037203234.1
KAI5195852.1	KAF5577331.1
KAI5195852.1	XP_023435114.1
KAI5195852.1	KAF5680763.1
KAI5195852.1	KAF5721575.1
KAI5195852.1	KAG4282113.1
KAI5195852.1	KAF4343146.1
KAI5195852.1	XP_036532281.1
KAI5195852.1	KAI7471480.1
KAI5195852.1	XP_013318582.1
XP_008083367.1	XP_008083367.1
KAH0383024.1	KAG9857016.1
XP_007916841.1	KAJ4387905.1
XP_007916841.1	KAI0015347.1
XP_007916841.1	ROW00096.1
PVH94776.1	EGU84131.1
KAK0319591.1	KAK0319591.1
WP_145744499.1	WP_106938312.1
WP_145744499.1	WP_184606009.1
WP_145744499.1	SEF29387.1
WP_145744499.1	RYF79242.1
WP_145744499.1	WP_093111194.1
WP_145744499.1	WP_214685042.1
WP_145744499.1	WP_271426104.1
WP_145744499.1	WP_162573494.1
WP_145744499.1	WP_286622870.1
WP_145744499.1	WP_286542073.1
WP_145744499.1	WP_106557236.1
WP_145744499.1	WP_068629021.1
WP_145744499.1	WP_076999284.1
KAH6174676.1	KNG51101.1
KAH6174676.1	RJE24979.1
KAH6174676.1	KAH7089865.1
KAH6174676.1	PSN60223.1
KAH6174676.1	KAF2878482.1
KAH6174676.1	KAG0650610.1
KAH6174676.1	KAE8858823.1
KAH6174676.1	EFQ85247.1
KAH6174676.1	XP_046024724.1
KAH6174676.1	KAE8825304.1
KAH6174676.1	XP_051303844.1
KAH6174676.1	KAF2263673.1
KAH6174676.1	KAF2462427.1
KAH6174676.1	XP_049185177.1
KAH6174676.1	KAI2485120.1
KAH6174676.1	QDS76794.1
KAH6174676.1	XP_049257566.1
KAH6174676.1	ORY15432.1
KAH6174676.1	KAI4701760.1
KAH6174676.1	XP_049206944.1
KAH6174676.1	XP_049220766.1
KAH6174676.1	RYN72931.1
KAH6174676.1	XP_038789672.1
KAH6174676.1	XP_033685611.1
KAH6174676.1	RYN77128.1
KAH6174676.1	RYN43582.1
KAH6174676.1	XP_028500548.1
KAH6174676.1	KAF2826378.1
KAH6174676.1	XP_007684534.1
KAH6174676.1	OWY51367.1
KAH6174676.1	KAF2203677.1
KAH6174676.1	KAB2104776.1
KAH6174676.1	KAF2432262.1
KAH6174676.1	RYN63425.1
KAH6174676.1	KAH6846854.1
KAH6174676.1	KAH5369561.1
KAH6174676.1	XP_014080695.1
KAH6174676.1	KAI8943599.1
KAH6174676.1	RYN18709.1
KAH6174676.1	XP_001791802.1
KAH6174676.1	RYO52902.1
KAH6174676.1	KAH5336456.1
KAH6174676.1	OCK75446.1
KAH6174676.1	KAF1944862.1
KAH6174676.1	XP_007705000.1
KAH6174676.1	KAF2734887.1
KAH6174676.1	XP_014561938.1
KAH6174676.1	KAJ4369874.1
KAH6174676.1	KAF2002467.1
KAH6174676.1	KAF2791337.1
KAH6174676.1	KAH7411778.1
KAH6174676.1	OAL55347.1
KAH6174676.1	KAH7393071.1
KAH6174676.1	CAA9963638.1
KAH6174676.1	KAF2640696.1
KAH6174676.1	KAF1918163.1
KAH6174676.1	KAF2855107.1
KAH6174676.1	XP_018032189.1
KAH6174676.1	PVI08656.1
KAH6174676.1	GME59873.1
KAH6174676.1	XP_051323685.1
