Cluster	ID
VTN52823.1	VTN52823.1
HBU2675145.1	HBU2675145.1
VTM15140.1	WP_301691349.1
VTM15140.1	STV32450.1
QPG07567.1	3QVA_A
QPG07567.1	WP_002904788.1
QPG07567.1	WP_115667593.1
QPG07567.1	WP_004143476.1
QPG07567.1	HBT0394762.1
QPG07567.1	WP_064291485.1
QPG07567.1	HCM5777482.1
QPG07567.1	HBU6084791.1
QPG07567.1	WP_117256575.1
QPG07567.1	WP_229386503.1
QPG07567.1	HBR3114879.1
QPG07567.1	WP_265656196.1
QPG07567.1	HBX7719251.1
QPG07567.1	WP_004224757.1
QPG07567.1	WP_101986115.1
QPG07567.1	HBR1479896.1
QPG07567.1	HBR6159575.1
QPG07567.1	HCW7106430.1
QPG07567.1	WP_262857979.1
QPG07567.1	WP_044244361.1
QPG07567.1	WP_115667999.1
QPG07567.1	EJK8056446.1
QPG07567.1	MBZ7818555.1
QPG07567.1	WP_100127219.1
QPG07567.1	WP_289817195.1
QPG07567.1	HBQ2714433.1
QPG07567.1	WP_283192419.1
QPG07567.1	HBQ7341336.1
QPG07567.1	UMV13073.1
QPG07567.1	WP_009485245.1
QPG07567.1	HBQ0756274.1
QPG07567.1	HBS6535284.1
QPG07567.1	WP_274789078.1
QPG07567.1	HCE8966706.1
QPG07567.1	WP_221395430.1
QPG07567.1	WP_004892019.1
QPG07567.1	WP_064162062.1
QPG07567.1	WP_163589075.1
QPG07567.1	WP_153676860.1
QPG07567.1	WP_094340294.1
QPG07567.1	HBS5021289.1
QPG07567.1	WP_004184023.1
QPG07567.1	WP_117081976.1
QPG07567.1	WP_004215084.1
QPG07567.1	WP_023341548.1
QPG07567.1	WP_069602708.1
QPG07567.1	WP_110249294.1
QPG07567.1	WP_285214155.1
QPG07567.1	MCM5882129.1
QPG07567.1	WP_004176200.1
QPG07567.1	EIV7916053.1
QPG07567.1	WP_096913174.1
QPG07567.1	WP_048265555.1
QPG07567.1	WP_117244270.1
QPG07567.1	WP_117063795.1
QPG07567.1	HBV4910500.1
QPG07567.1	HDG7694745.1
QPG07567.1	WP_032436336.1
QPG07567.1	HBX6886479.1
QPG07567.1	WP_085803335.1
QPG07567.1	MCB3294312.1
QPG07567.1	WP_032414908.1
QPG07567.1	WP_282813153.1
QPG07567.1	HBW3605551.1
QPG07567.1	WP_048986984.1
QPG07567.1	HDS2194931.1
QPG07567.1	HBS5790690.1
QPG07567.1	WP_108523798.1
QPG07567.1	WP_274759103.1
QPG07567.1	WP_021462560.1
QPG07567.1	MCJ3784250.1
QPG07567.1	HBV9316480.1
QPG07567.1	WP_048981965.1
QPG07567.1	WP_125285489.1
QPG07567.1	HBU1807034.1
QPG07567.1	HBU9320315.1
QPG07567.1	WP_070181926.1
QPG07567.1	WP_185776528.1
QPG07567.1	HBQ6666406.1
QPG07567.1	HCA4639307.1
QPG07567.1	EKV8870665.1
QPG07567.1	WP_114265379.1
QPG07567.1	HDE1048093.1
QPG07567.1	WP_065811233.1
QPG07567.1	MBD3708237.1
QPG07567.1	WP_040222217.1
QPG07567.1	WP_064187240.1
QPG07567.1	WP_101999386.1
QPG07567.1	EIW8508276.1
QPG07567.1	WP_202677924.1
QPG07567.1	HBY0269698.1
QPG07567.1	WP_122008054.1
QPG07567.1	WP_057215179.1
QPG07567.1	WP_226650805.1
QPG07567.1	WP_121915474.1
QPG07567.1	HBQ5991599.1
QPG07567.1	HBR1203435.1
QPG07567.1	WP_125319118.1
QPG07567.1	HBT0084465.1
QPG07567.1	HBQ0835459.1
QPG07567.1	WP_060175815.1
QPG07567.1	WP_130942356.1
QPG07567.1	HBQ8738817.1
QPG07567.1	HCA1982246.1
QPG07567.1	HBU4067825.1
QPG07567.1	WP_016161009.1
QPG07567.1	WP_096925015.1
QPG07567.1	HCF8144802.1
QPG07567.1	WP_202711447.1
QPG07567.1	WP_117050712.1
QPG07567.1	CAF1975511.1
QPG07567.1	HCD1324785.1
QPG07567.1	HBR2038951.1
QPG07567.1	WP_253969366.1
QPG07567.1	WP_232712217.1
QPG07567.1	WP_017900379.1
QPG07567.1	HBT3273517.1
QPG07567.1	HBZ9950845.1
QPG07567.1	HBZ8770572.1
QPG07567.1	WP_234281808.1
QPG07567.1	VTM31304.1
QPG07567.1	WP_023313162.1
QPG07567.1	WP_114137714.1
QPG07567.1	WP_004205923.1
QPG07567.1	WP_226498931.1
QPG07567.1	HBQ2951282.1
QPG07567.1	WP_152280583.1
QPG07567.1	HCI6431683.1
QPG07567.1	WP_102090121.1
QPG07567.1	MBZ7551883.1
QPG07567.1	HDH0481896.1
QPG07567.1	WP_264980137.1
QPG07567.1	HBR4203795.1
QPG07567.1	MCP5712292.1
QPG07567.1	WP_153678525.1
QPG07567.1	MBC2862742.1
QPG07567.1	WP_164981748.1
QPG07567.1	HBW3304525.1
QPG07567.1	UMP97270.1
QPG07567.1	UZI48630.1
QPG07567.1	WP_048337092.1
QPG07567.1	WP_025861921.1
QPG07567.1	WP_023318212.1
QPG07567.1	WP_128336096.1
QPG07567.1	MBK2507546.1
QPG07567.1	MBD3700109.1
QPG07567.1	WP_285205151.1
QPG07567.1	WP_048331835.1
QPG07567.1	HBR0618207.1
QPG07567.1	WP_247186428.1
QPG07567.1	WP_264944526.1
QPG07567.1	WP_019705664.1
QPG07567.1	WP_044523006.1
QPG07567.1	HBZ2322891.1
QPG07567.1	WP_182947581.1
QPG07567.1	QGV99185.1
QPG07567.1	WP_022066165.1
QPG07567.1	WP_094081365.1
QPG07567.1	WP_263749387.1
QPG07567.1	WP_071443847.1
QPG07567.1	EIY5070002.1
QPG07567.1	WP_086519588.1
QPG07567.1	HCA9721528.1
QPG07567.1	MCY2793232.1
QPG07567.1	WP_197348513.1
QPG07567.1	WP_103215400.1
QPG07567.1	MBD3718816.1
QPG07567.1	WP_117137030.1
QPG07567.1	HBV5739801.1
QPG07567.1	WP_032456031.1
QPG07567.1	WP_069346805.1
QPG07567.1	WP_288648422.1
QPG07567.1	WP_048334847.1
QPG07567.1	HBQ5773349.1
QPG07567.1	MCS5826144.1
QPG07567.1	HBQ1920453.1
QPG07567.1	WP_040170924.1
QPG07567.1	WP_110243859.1
QPG07567.1	WP_139620332.1
QPG07567.1	WP_217048317.1
QPG07567.1	WP_060568132.1
QPG07567.1	WP_072420213.1
QPG07567.1	WP_217332803.1
QPG07567.1	WP_117062225.1
QPG07567.1	WP_032452826.1
QPG07567.1	WP_289496697.1
QPG07567.1	WP_109217496.1
QPG07567.1	WP_065882401.1
QPG07567.1	WP_117035277.1
QPG07567.1	WP_153931840.1
QPG07567.1	HBX3521489.1
QPG07567.1	WP_049003664.1
QPG07567.1	HBR1665695.1
QPG07567.1	WP_286129237.1
QPG07567.1	WP_114669898.1
QPG07567.1	HBZ3706812.1
QPG07567.1	WP_167874632.1
QPG07567.1	WP_085550859.1
QPG07567.1	WP_136034202.1
QPG07567.1	HCI6263363.1
QPG07567.1	WP_179396530.1
QPG07567.1	WP_137916254.1
QPG07567.1	WP_095033147.1
QPG07567.1	WP_100729694.1
QPG07567.1	WP_064794852.1
QPG07567.1	HCI6217232.1
QPG07567.1	WP_122543000.1
QPG07567.1	WP_281163820.1
QPG07567.1	WP_279764595.1
QPG07567.1	HDG8142287.1
QPG07567.1	WP_179416560.1
QPG07567.1	WP_277475467.1
QPG07567.1	WP_023289666.1
QPG07567.1	WP_130947587.1
QPG07567.1	WP_249481328.1
QPG07567.1	WP_256060646.1
QPG07567.1	WP_211774148.1
QPG07567.1	VVL51628.1
QPG07567.1	WP_260768154.1
QPG07567.1	WP_117134218.1
QPG07567.1	HCI4630864.1
QPG07567.1	HCI5984482.1
QPG07567.1	HBQ6573967.1
QPG07567.1	WP_110248230.1
QPG07567.1	HCB0595720.1
QPG07567.1	WP_101866106.1
QPG07567.1	WP_102013384.1
QPG07567.1	HBT4728554.1
QPG07567.1	WP_136072812.1
QPG07567.1	WP_061154622.1
QPG07567.1	WP_094311660.1
QPG07567.1	WP_108450439.1
QPG07567.1	WP_064183713.1
QPG07567.1	WP_211773651.1
QPG07567.1	WP_263077855.1
QPG07567.1	WP_218804505.1
QPG07567.1	WP_049093369.1
QPG07567.1	WP_102002302.1
QPG07567.1	WP_008804921.1
QPG07567.1	WP_106939109.1
QPG07567.1	WP_085846150.1
QPG07567.1	WP_065812519.1
QPG07567.1	WP_086076290.1
QPG07567.1	HBW0550678.1
QPG07567.1	WP_053810395.1
QPG07567.1	WP_025713160.1
QPG07567.1	HCA7564465.1
QPG07567.1	WP_110224358.1
QPG07567.1	WP_101839165.1
QPG07567.1	WP_101417025.1
QPG07567.1	WP_074385881.1
QPG07567.1	WP_064142320.1
QPG07567.1	WP_210697545.1
QPG07567.1	WP_200082957.1
QPG07567.1	WP_180257368.1
QPG07567.1	WP_064167021.1
QPG07567.1	WP_086893148.1
QPG07567.1	WP_072045543.1
QPG07567.1	WP_181482064.1
QPG07567.1	WP_136026680.1
QPG07567.1	QHW97479.1
QPG07567.1	WP_234001923.1
QPG07567.1	WP_043875296.1
QPG07567.1	HBQ3194767.1
QPG07567.1	WP_165812844.1
QPG07567.1	WP_186932923.1
QPG07567.1	HCU0492312.1
QPG07567.1	WP_194387133.1
QPG07567.1	WP_172871197.1
QPG07567.1	WP_186944501.1
QPG07567.1	HBR1870814.1
QPG07567.1	WP_124038026.1
QPG07567.1	HCC2472978.1
QPG07567.1	WP_232672935.1
QPG07567.1	WP_060875808.1
QPG07567.1	WP_110203171.1
QPG07567.1	HBS6102302.1
QPG07567.1	WP_110190736.1
QPG07567.1	WP_049162863.1
QPG07567.1	WP_087498798.1
QPG07567.1	WP_032730342.1
QPG07567.1	WP_119866908.1
QPG07567.1	EIY5072902.1
QPG07567.1	PII45784.1
QPG07567.1	WP_130993737.1
QPG07567.1	WP_064180815.1
QPG07567.1	WP_160211619.1
QPG07567.1	WP_110204798.1
QPG07567.1	WP_180405892.1
QPG07567.1	EIY5154455.1
QPG07567.1	WP_129765874.1
QPG07567.1	WP_080930366.1
QPG07567.1	PLM81413.1
QPG07567.1	HBZ7860189.1
QPG07567.1	HBQ3274404.1
QPG07567.1	WP_232555843.1
QPG07567.1	PVW86380.1
QPG07567.1	WP_224229929.1
QPG07567.1	WP_301686508.1
QPG07567.1	WP_220980685.1
QPG07567.1	MBN0840133.1
QPG07567.1	WP_220980497.1
QPG07567.1	EKV3982658.1
QPG07567.1	WP_086372109.1
QPG07567.1	MBN0712681.1
QPG07567.1	RXY53669.1
QPG07567.1	PCQ96499.1
QPG07567.1	MCS6029022.1
QPG07567.1	VEC55536.1
QPG07567.1	PAW17840.1
WP_274818732.1	WP_274818732.1
HBV3655024.1	HBV2581696.1
HBV3655024.1	WP_088717111.1
HBV3655024.1	MDH8051707.1
ORU02215.1	ORU02215.1
WP_301683405.1	WP_301683405.1
PLL47159.1	PLL47159.1
HBQ6517963.1	HBQ6517963.1
HBX9740383.1	WP_113778927.1
WP_029067637.1	WP_029067637.1
HBX8305284.1	HBX8305284.1
PLL36944.1	PLL36944.1
PCR37552.1	PCR37552.1
MBZ4280491.1	MBZ4280491.1
WP_275265577.1	WP_275265577.1
RBZ36336.1	RBZ36336.1
WP_115874674.1	WP_080327626.1
WP_115874674.1	WP_288460047.1
WP_115874674.1	WP_133294126.1
WP_115874674.1	WP_096150529.1
