Cluster	ID
WP_153422506.1	WP_009990155.1
WP_153422506.1	WP_240781627.1
WP_153422506.1	WP_012735487.1
WP_153422506.1	WP_012712950.1
WP_153422506.1	WP_014511948.1
WP_153422506.1	WP_012718048.1
WP_153422506.1	WP_014513507.1
WP_153422506.1	WP_012718380.1
WP_153422506.1	WP_012715539.1
WP_153422506.1	WP_012710509.1
WP_153422506.1	WP_218266017.1
WP_153422506.1	WP_229572127.1
WP_153422506.1	WP_069282972.1
WP_153422506.1	TRM89021.1
WP_153422506.1	TRM74199.1
QXJ32327.1	QXJ32327.1
WP_069807673.1	WP_081226665.1
WP_236658884.1	WP_090947909.1
WP_236658884.1	WP_125010964.1
WP_236658884.1	WP_042383780.1
WP_236658884.1	WP_248295928.1
WP_236658884.1	WP_060788220.1
WP_236658884.1	WP_232722101.1
WP_236658884.1	GAD14385.1
WP_236658884.1	WP_235045617.1
WP_236658884.1	WP_183251019.1
WP_236658884.1	WP_004436122.1
WP_236658884.1	WP_171698404.1
WP_236658884.1	WP_248893798.1
WP_236658884.1	MBO8170890.1
WP_236658884.1	WP_061579417.1
WP_236658884.1	WP_027416831.1
WP_236658884.1	MBX6395427.1
WP_236658884.1	MBE3569640.1
WP_236658884.1	MDI3327996.1
WP_236658884.1	MDG2302046.1
WP_236658884.1	WP_289475385.1
WP_236658884.1	MDC1127672.1
WP_236658884.1	MBT4206510.1
WP_236658884.1	WP_223812601.1
WP_236658884.1	WP_078427407.1
WP_236658884.1	WP_170085316.1
WP_236658884.1	WP_288010003.1
WP_236658884.1	WP_100667409.1
WP_236658884.1	WP_272442037.1
WP_236658884.1	WP_085031211.1
WP_236658884.1	WP_035542274.1
WP_236658884.1	MCF8563361.1
WP_236658884.1	WP_272907976.1
WP_236658884.1	WP_119118549.1
WP_236658884.1	QSO51223.1
WP_236658884.1	WP_272908725.1
WP_236658884.1	MCF8567317.1
WP_236658884.1	WP_074897786.1
WP_236658884.1	WP_188529551.1
WP_236658884.1	MCZ6875029.1
WP_236658884.1	MDG2302046.1
WP_236658884.1	MDC1127672.1
WP_236658884.1	WP_090947909.1
WP_236658884.1	WP_060788220.1
WP_236658884.1	MDI3327996.1
WP_236658884.1	WP_170085316.1
WP_236658884.1	WP_288010003.1
WP_236658884.1	WP_100667409.1
WP_236658884.1	MCZ6875029.1
WP_236658884.1	MDI3327996.1
WP_236658884.1	MBX6395427.1
WP_236658884.1	MDG2302046.1
WP_236658884.1	MBT4206510.1
WP_236658884.1	WP_188529551.1
WP_236658884.1	MBO8170890.1
WP_236658884.1	MCF8567317.1
WP_236658884.1	WP_272907976.1
WP_236658884.1	WP_060788220.1
WP_236658884.1	WP_090947909.1
WP_236658884.1	WP_232722101.1
WP_236658884.1	WP_061579417.1
WP_236658884.1	WP_183251019.1
WP_236658884.1	WP_042383780.1
WP_236658884.1	WP_235045617.1
WP_236658884.1	WP_125010964.1
WP_236658884.1	WP_248295928.1
WP_236658884.1	WP_171698404.1
WP_236658884.1	WP_223812601.1
WP_236658884.1	WP_027416831.1
WP_236658884.1	WP_078427407.1
WP_236658884.1	WP_035542274.1
WP_236658884.1	WP_004436122.1
WP_236658884.1	WP_272442037.1
WP_236658884.1	MBE3569640.1
WP_236658884.1	QSO51223.1
WP_236658884.1	WP_085031211.1
WP_236658884.1	WP_076767038.1
WP_236658884.1	WP_289475385.1
WP_236658884.1	SDE54970.1
WP_236658884.1	WP_074897786.1
WP_236658884.1	WP_264843319.1
WP_236658884.1	PWT83192.1
WP_236658884.1	MBO0706955.1
WP_236658884.1	MBO0744472.1
WP_236658884.1	WP_220203395.1
WP_236658884.1	WP_220203395.1
WP_236658884.1	WP_274399937.1
WP_236658884.1	RYL92519.1
WP_236658884.1	WP_229727594.1
WP_017728720.1	WP_076767038.1
PYP88367.1	PYP88367.1
WP_235940032.1	WP_093231709.1
WP_235940032.1	MCB1747943.1
WP_235940032.1	WP_213256377.1
WP_235940032.1	WP_275188283.1
WP_235940032.1	MBI3029535.1
WP_235940032.1	MCA6116548.1
WP_235940032.1	WP_225672489.1
WP_235940032.1	MBX6368631.1
WP_235940032.1	WP_057854268.1
WP_235940032.1	PYM05287.1
WP_235940032.1	WP_275198061.1
WP_235940032.1	WP_247514247.1
WP_235940032.1	WP_171580400.1
WP_235940032.1	ANW05557.1
WP_235940032.1	WP_091883240.1
WP_235940032.1	WP_156795622.1
WP_235940032.1	WP_171712592.1
WP_235940032.1	MBI3328470.1
WP_235940032.1	WP_247836790.1
WP_235940032.1	PYO24163.1
WP_235940032.1	WP_161852648.1
WP_235940032.1	WP_213290583.1
WP_235940032.1	SIO28565.1
WP_235940032.1	WP_279377702.1
WP_235940032.1	PYM50536.1
WP_235940032.1	OLB02071.1
WP_235940032.1	WP_057902668.1
WP_235940032.1	WP_084030437.1
WP_235940032.1	OAF13111.1
WP_235940032.1	WP_074123288.1
WP_235940032.1	TYO64472.1
WP_235940032.1	WP_082905552.1
WP_235940032.1	WP_247990796.1
WP_235940032.1	WP_057843671.1
WP_235940032.1	MBI3328913.1
WP_235940032.1	WP_247780342.1
WP_235940032.1	OKO70530.1
WP_235940032.1	WP_084810400.1
WP_235940032.1	WP_132689472.1
WP_235940032.1	WP_212422929.1
WP_235940032.1	WP_274542268.1
WP_235940032.1	MCZ6553441.1
WP_235940032.1	WP_280970823.1
WP_235940032.1	MBK8958448.1
WP_235940032.1	WP_051379789.1
WP_235940032.1	TMC03566.1
WP_235940032.1	MCH8882527.1
WP_235940032.1	WP_051379748.1
WP_235940032.1	TMC16574.1
WP_235940032.1	TME62824.1
WP_235940032.1	OLB40967.1
WP_235940032.1	TMD13488.1
WP_235940032.1	TMC62793.1
WP_235940032.1	TMD37991.1
WP_235940032.1	WP_129892714.1
WP_235940032.1	TMC99341.1
WP_235940032.1	TMF48589.1
WP_235940032.1	MBJ7599331.1
WP_235940032.1	PLS83875.1
WP_235940032.1	MCE2457534.1
WP_235940032.1	WP_207956284.1
WP_235940032.1	MCY4415640.1
WP_235940032.1	WP_232226637.1
WP_235940032.1	MDE2788249.1
WP_235940032.1	WP_143527221.1
WP_235940032.1	MCY4554821.1
WP_235940032.1	WP_011564678.1
WP_235940032.1	WP_219975293.1
WP_235940032.1	WP_011564678.1
WP_235940032.1	TMC37953.1
WP_235940032.1	OAF13111.1
