Cluster	ID
TRO34610.1	TRO34610.1
MCS6779853.1	MBT3788799.1
MCS6779853.1	WP_291336610.1
MCA6302532.1	MCZ7676309.1
MCA6302532.1	WP_294973273.1
MCA6302532.1	WP_058096354.1
MCA6302532.1	EAQ25418.1
MCA6302532.1	WP_234872304.1
MCA6302532.1	WP_108434033.1
MCA6302532.1	OYX45105.1
MCA6302532.1	WP_185796730.1
MCA6302532.1	WP_011747350.1
MCA6302532.1	MCB1831983.1
MCA6302532.1	MDE2384080.1
WP_163316590.1	WP_012695975.1
WP_163316590.1	WP_261923847.1
WP_163316590.1	WP_246261096.1
WP_163316590.1	WP_289831047.1
WP_163316590.1	WP_289838851.1
WP_163316590.1	WP_294867247.1
WP_163316590.1	WP_014086573.1
WP_163316590.1	UUZ76964.1
WP_163316590.1	MBP6717622.1
WP_163316590.1	WP_258332087.1
WP_163316590.1	WP_066336113.1
WP_163316590.1	WP_169141123.1
WP_163316590.1	WP_169162998.1
WP_163316590.1	WP_076602776.1
WP_163316590.1	WP_018991958.1
WP_163316590.1	WP_015451698.1
WP_163316590.1	WP_228216767.1
WP_163316590.1	ESW59290.1
WP_163316590.1	WP_050415867.1
WP_163316590.1	WP_153168684.1
WP_163316590.1	MBS0552051.1
WP_163316590.1	WP_153168679.1
WP_163316590.1	TAH51469.1
WP_163316590.1	MBS0511488.1
WP_163316590.1	WP_250453100.1
WP_163316590.1	WP_121428226.1
WP_163316590.1	WP_281050392.1
WP_163316590.1	NMF98369.1
WP_163316590.1	WP_062607090.1
WP_163316590.1	MBD5803982.1
WP_163316590.1	WP_169131262.1
WP_163316590.1	MBV2181555.1
WP_163316590.1	WP_169254840.1
WP_163316590.1	WP_021247694.1
WP_163316590.1	WP_159834131.1
WP_163316590.1	MBN9402228.1
WP_163316590.1	KXU86945.1
WP_163316590.1	WP_229517038.1
WP_163316590.1	WP_028232449.1
WP_163316590.1	WP_238468589.1
WP_163316590.1	WP_167053345.1
WP_163316590.1	WP_168794672.1
WP_163316590.1	WP_115110293.1
WP_163316590.1	WP_253045935.1
WP_163316590.1	WP_168787383.1
WP_163316590.1	WP_158939075.1
WP_163316590.1	WP_088176917.1
WP_163316590.1	WP_250475415.1
WP_163316590.1	WP_266257195.1
WP_163316590.1	TCG08934.1
WP_163316590.1	MBP6216163.1
WP_163316590.1	WP_051453742.1
WP_163316590.1	WP_187637121.1
WP_163316590.1	WP_205808895.1
WP_163316590.1	WP_209929444.1
WP_163316590.1	WP_180723702.1
WP_163316590.1	WP_109480201.1
WP_163316590.1	WP_180733005.1
WP_163316590.1	WP_223958261.1
WP_163316590.1	WP_201647452.1
WP_163316590.1	WP_205968063.1
WP_163316590.1	WP_176054869.1
WP_163316590.1	WP_041766103.1
WP_163316590.1	WP_297369288.1
WP_163316590.1	WP_172594908.1
WP_163316590.1	WP_302067451.1
WP_163316590.1	WP_085390816.1
WP_163316590.1	WP_194948723.1
