Cluster	ID
WP_297025907.1	Q05213.2
WP_297025907.1	WP_048161852.1
WP_297025907.1	KAA8923217.1
WP_297025907.1	PYB68217.1
WP_297025907.1	WP_237265312.1
WP_297025907.1	WP_297218139.1
WP_010917276.1	WP_010917276.1
WP_011177872.1	WP_084272993.1
MCL5442057.1	MCL5679565.1
MCL5442057.1	MCL5668153.1
MCL5442057.1	MCL4444092.1
MCL5442057.1	OWP56977.1
MCL5442057.1	QRF76293.1
WP_048100960.1	WP_055032495.1
WP_048100960.1	WP_175266529.1
EQB73323.1	WP_276922671.1
EQB73323.1	WP_171482000.1
EQB73323.1	WP_276935196.1
EQB73323.1	WP_081142621.1
EQB73323.1	WP_298408185.1
EQB73323.1	WP_009886319.1
EQB73323.1	MCL4453825.1
EQB73323.1	WP_298276582.1
EQB73323.1	HII82945.1
MCL4335074.1	MCL4335074.1
MCL5803725.1	MCL5803725.1
AKA49061.1	AKA49061.1
MCL4336861.1	MCL6090232.1
MBR6133815.1	MBR6133815.1
WP_034805941.1	WP_034818109.1
WP_034805941.1	WP_255178433.1
WP_034805941.1	WP_131439853.1
WP_034805941.1	WP_131436601.1
WP_034805941.1	WP_214791896.1
WP_034805941.1	WP_214763216.1
WP_034805941.1	WP_131484910.1
WP_034805941.1	WP_138859271.1
WP_034805941.1	WP_214831848.1
WP_034805941.1	WP_114165993.1
WP_034805941.1	WP_034777984.1
WP_034805941.1	WP_214761097.1
WP_034805941.1	WP_215191375.1
WP_034805941.1	WP_131488206.1
WP_034805941.1	WP_131463728.1
WP_034805941.1	WP_070327058.1
WP_034805941.1	WP_214753200.1
WP_034805941.1	WP_024371518.1
WP_034805941.1	WP_029334795.1
WP_034805941.1	EPE60962.1
WP_034805941.1	WP_215114030.1
WP_034805941.1	WP_214835154.1
WP_034805941.1	WP_021067702.1
WP_034805941.1	WP_214706137.1
WP_034805941.1	WP_071397712.1
WP_034805941.1	WP_214823110.1
WP_034805941.1	WP_214824278.1
WP_034805941.1	WP_214838207.1
WP_034805941.1	WP_128122297.1
WP_034805941.1	WP_215142688.1
WP_034805941.1	WP_228619469.1
WP_034805941.1	WP_214816449.1
WP_034805941.1	WP_214757419.1
WP_034805941.1	WP_214782406.1
WP_034805941.1	WP_214787518.1
WP_034805941.1	MBR2077278.1
WP_034805941.1	WP_159562461.1
WP_034805941.1	WP_214891003.1
WP_034805941.1	MBR3215678.1
WP_034805941.1	WP_196430850.1
WP_034805941.1	WP_271304628.1
WP_034805941.1	WP_012726573.1
WP_034805941.1	WP_214820215.1
WP_034805941.1	WP_031423334.1
WP_034805941.1	MBR2759235.1
WP_034805941.1	WP_074036699.1
WP_034805941.1	WP_214733614.1
WP_034805941.1	WP_290770614.1
WP_034805941.1	WP_131458861.1
WP_034805941.1	WP_214692965.1
WP_034805941.1	WP_074033300.1
WP_034805941.1	WP_214690768.1
WP_034805941.1	WP_214741092.1
WP_034805941.1	WP_274665231.1
WP_034805941.1	WP_215112882.1
WP_034805941.1	WP_214698966.1
WP_034805941.1	WP_214883280.1
WP_034805941.1	WP_026825742.1
WP_034805941.1	WP_274356228.1
WP_034805941.1	WP_282198313.1
WP_034805941.1	NNM91021.1
WP_034805941.1	VWX33159.1
WP_034805941.1	WP_247106047.1
WP_034805941.1	NLM39355.1
WP_034805941.1	WP_238239198.1
WP_034805941.1	WP_232696101.1
WP_034805941.1	WP_082318514.1
WP_034805941.1	KOP30507.1
WP_034805941.1	WP_268026302.1
WP_034805941.1	WP_023467581.1
WP_034805941.1	WP_214747611.1
WP_034805941.1	KNH34028.1
WP_034805941.1	WP_114596347.1
WP_034805941.1	WP_081776650.1
WP_034805941.1	WP_223041497.1
WP_034805941.1	WP_114570329.1
WP_034805941.1	WP_082627410.1
WP_034805941.1	WP_214766096.1
WP_034805941.1	WP_012369808.1
WP_034805941.1	WP_214804414.1
WP_034805941.1	WP_083412211.1
